pool.channel.name.0001: "Krijsende Guerilla"
pool.channel.name.0127: "Mystieke Slaapplaats"
pool.channel.name.0128: "Heilige Smaragd"
pool.channel.name.0129: "Mystieke Ambassade"
pool.channel.name.0130: "Mystieke Firma"
pool.channel.name.0131: "Roestige Welsprekendheid"
pool.channel.name.0132: "Goddelijke Balk"
pool.channel.name.0133: "Nieuwe Fluit"
pool.channel.name.0134: "Dodelijk Breekbaar"
pool.channel.name.0135: "Duistere Grijns"
pool.channel.name.0136: "Duistere Inspanning"
pool.channel.name.0137: "Stralende Eminentie"
pool.channel.name.0138: "Verboden Faun"
pool.channel.name.0139: "Oude Lift"
pool.channel.name.0140: "Jonge Folie"
pool.channel.name.0141: "Schaduw Vader"
pool.channel.name.0142: "Krijsende Grootheid"
pool.channel.name.0143: "Verboden Vloot"
pool.channel.name.0144: "Gezegend Geschil"
pool.channel.name.0145: "Smaragden Bos"
pool.channel.name.0146: "Koude George"
pool.channel.name.0147: "Vergeten Hazewindhond"
pool.channel.name.0148: "IJzeren Blik"
pool.channel.name.0149: "Mystiek Bekken"
pool.channel.name.0150: "Verloren Woede"
pool.channel.name.0151: "Wilde Gletsjer"
pool.channel.name.0152: "Helse Greep"
pool.channel.name.0153: "Gouden Uitademing"
pool.channel.name.0154: "Oer-Blik"
pool.channel.name.0155: "Jonge Cabale"
pool.channel.name.0156: "Verboden Gelijkwaardigheid"
pool.channel.name.0157: "Duister Feest"
pool.channel.name.0158: "Oude Dimensie"
pool.channel.name.0159: "Fluisterende Ontdekking"
pool.channel.name.0160: "Smaragden Echtheid"
pool.channel.name.0161: "Bevroren Tweedracht"
pool.channel.name.0162: "IJzeren Graanschuur"
pool.channel.name.0163: "Fataal Graan"
pool.channel.name.0164: "Stralende Cilinder"
pool.channel.name.0165: "Afgrondelijk Meel"
pool.channel.name.0166: "Verloren Gibbon"
pool.channel.name.0167: "Helse Boete"
pool.channel.name.0168: "Oer-Envelop"
pool.channel.name.0169: "Dodelijke Generatie"
pool.channel.name.0170: "Zilveren Staljongen"
pool.channel.name.0171: "Gloeiende Verlatenheid"
pool.channel.name.0172: "Fatale Greep"
pool.channel.name.0173: "Heilige Vermoeidheid"
pool.channel.name.0174: "Heilige Faculteit"
pool.channel.name.0175: "Koude Grondel"
pool.channel.name.0176: "Wilde Techniek"
pool.channel.name.0177: "Oude Dorsvlegel"
pool.channel.name.0178: "Wild Geduchte"
pool.channel.name.0179: "Bevroren Keizerin"
pool.channel.name.0180: "Nieuwe Oefening"
pool.channel.name.0181: "Etherische Lofrede"
pool.channel.name.0182: "Heilige Gouverneur"
pool.channel.name.0183: "Verloren Entiteit"
pool.channel.name.0184: "Oer-Acht"
pool.channel.name.0185: "Gloeiende Diamant"
pool.channel.name.0186: "Stralend Vuur"
pool.channel.name.0187: "Dodelijk Zuinig"
pool.channel.name.0188: "Brandende Beek"
pool.channel.name.0189: "Fluisterende Dringendheid"
pool.channel.name.0190: "Heilige Kerk"
pool.channel.name.0191: "Verborgen Uithoudingsvermogen"
pool.channel.name.0192: "Schaduw Emissie"
pool.channel.name.0193: "Goddelijk Boortje"
pool.channel.name.0194: "Fluisterende Uitzetting"
pool.channel.name.0195: "Verborgen Inrichting"
pool.channel.name.0196: "Stralend Verloop"
pool.channel.name.0197: "Oude Gruwel"
pool.channel.name.0198: "Oude Geweer"
pool.channel.name.0199: "Stralende Vooruitziendheid"
pool.channel.name.0200: "Brandende Geranium"
pool.channel.name.0201: "Koude Groet"
pool.channel.name.0202: "Vergeten Open Plek"
pool.channel.name.0203: "Hemelse Flank"
pool.channel.name.0204: "Vervloekt Gegorgel"
pool.channel.name.0205: "Goddelijk Geknaag"
pool.channel.name.0206: "Vervloekt Dok"
pool.channel.name.0207: "Roestige Fanaat"
pool.channel.name.0208: "Vervloekt Noodgeval"
pool.channel.name.0209: "Etherische Stortplaats"
pool.channel.name.0210: "Roestige Zwaartekracht"
pool.channel.name.0211: "Goddelijke Emulatie"
pool.channel.name.0212: "Bevroren Elders"
pool.channel.name.0213: "Oude Oogtand"
pool.channel.name.0214: "Nieuw Huisje"
pool.channel.name.0215: "Jonge Gunst"
pool.channel.name.0216: "Hels Gefladder"
pool.channel.name.0217: "Gezegende Prikkel"
pool.channel.name.0218: "Brandende Ontwijking"
pool.channel.name.0219: "Brandende Verdorvenheid"
pool.channel.name.0220: "Jonge Geul"
pool.channel.name.0221: "Leegte Diepte"
pool.channel.name.0222: "Hemelse Zwoeger"
pool.channel.name.0223: "Roestige Visserij"
pool.channel.name.0224: "Duistere Essentie"
pool.channel.name.0225: "Stralende Beeltenis"
pool.channel.name.0226: "Oude Koorts"
pool.channel.name.0227: "Bezoedeld Leedvermaak"
pool.channel.name.0228: "Fluisterend Kraakbeen"
pool.channel.name.0229: "Koude Tentoonstelling"
pool.channel.name.0230: "Heilig Oogglas"
pool.channel.name.0231: "Gloeiend Glazuur"
pool.channel.name.0232: "Verboden Samenkomst"
pool.channel.name.0233: "Heilige Uitvoerder"
pool.channel.name.0234: "Afgrondelijke Olifant"
pool.channel.name.0235: "Koude Schittering"
pool.channel.name.0236: "Zilveren Bestuur"
pool.channel.name.0237: "Jonge Emotie"
pool.channel.name.0238: "Stralende Frequentie"
pool.channel.name.0239: "Heilig Feodaal"
pool.channel.name.0240: "Jonge Granaat"
pool.channel.name.0241: "Jong Voorbeeld"
pool.channel.name.0242: "Jonge Belichaming"
pool.channel.name.0243: "Krijsende Gallon"
pool.channel.name.0244: "Heilige Knoflook"
pool.channel.name.0245: "Oude Toevalstreffer"
pool.channel.name.0246: "Verboden Vergeving"
pool.channel.name.0247: "Verborgen Gestaar"
pool.channel.name.0248: "Leegte Vuurvlieg"
pool.channel.name.0249: "Krijsend Duel"
pool.channel.name.0250: "Wilde Samenkomst"
pool.channel.name.0251: "Gloeiende Eruptie"
pool.channel.name.0252: "Brandende Vlieg"
pool.channel.name.0253: "Goddelijke Eerste"
pool.channel.name.0254: "Gouden Einde"
pool.channel.name.0255: "Wilde Inham"
pool.channel.name.0256: "Fluisterende Bekrachtiging"
pool.channel.name.0257: "Mystieke Verte"
pool.channel.name.0258: "Smaragden Enormiteit"
pool.channel.name.0259: "Bezoedelde Koepel"
pool.channel.name.0260: "Gouden Meent"
pool.channel.name.0261: "Krijsende Accijns"
pool.channel.name.0262: "Afgrondelijke Vurigheid"
pool.channel.name.0263: "Verboden Richting"
pool.channel.name.0264: "Vervloekt Giegeltje"
pool.channel.name.0265: "Bezoedeld Kuiltje"
pool.channel.name.0266: "Jong Vaarwel"
pool.channel.name.0267: "Heilige Voornaamste"
pool.channel.name.0268: "Verborgen Feit"
pool.channel.name.0269: "Stralende Inbreuk"
pool.channel.name.0270: "Helse Verdrinking"
pool.channel.name.0271: "Roestige Extractie"
pool.channel.name.0272: "Oude Verkiezing"
pool.channel.name.0273: "Zilveren Furlong"
pool.channel.name.0274: "Verborgen Gisting"
pool.channel.name.0275: "Zilveren Klif"
pool.channel.name.0276: "Gouden Gevel"
pool.channel.name.0277: "Gouden Vuil"
pool.channel.name.0278: "Wilde Finish"
pool.channel.name.0279: "Heilige Versterking"
pool.channel.name.0280: "Jonge Flens"
pool.channel.name.0281: "Koude Meetkunde"
pool.channel.name.0282: "Oude Executie"
pool.channel.name.0283: "Krijsend Ensemble"
pool.channel.name.0284: "Bezoedelde Dupe"
pool.channel.name.0285: "Etherische Evangelisatie"
pool.channel.name.0286: "Jong Gekners"
pool.channel.name.0287: "Eeuwenoude Diagonaal"
pool.channel.name.0288: "Schaduw Arsenaal"
pool.channel.name.0289: "Jonge Vijftig"
pool.channel.name.0290: "Bezoedelde Damp"
pool.channel.name.0291: "Koude Vuursteen"
pool.channel.name.0292: "Vergeten Verheuging"
pool.channel.name.0293: "Leegte Overal"
pool.channel.name.0294: "Stille Dynamiet"
pool.channel.name.0295: "Nieuw Moeras"
pool.channel.name.0296: "Stalen Bril"
pool.channel.name.0297: "Afgrondelijke Windvlaag"
pool.channel.name.0298: "Jonge Ontwijking"
pool.channel.name.0299: "Verboden Begeleiding"
pool.channel.name.0300: "Goddelijke Verbanning"
pool.channel.name.0301: "IJzeren Voortreffelijkheid"
pool.channel.name.0302: "Gloeiend Reekalf"
pool.channel.name.0303: "Smaragden Verbijstering"
pool.channel.name.0304: "Heilige Wolk"
pool.channel.name.0305: "Zilveren Inspanning"
pool.channel.name.0306: "Wilde Trechter"
pool.channel.name.0307: "Oude Vezel"
pool.channel.name.0308: "Oud Empirisme"
pool.channel.name.0309: "Zilveren Duo"
pool.channel.name.0310: "Stille Gang"
pool.channel.name.0311: "Jonge Vos"
pool.channel.name.0312: "Fatale Fraude"
pool.channel.name.0313: "Jonge Rand"
pool.channel.name.0314: "Oude Puinhoop"
pool.channel.name.0315: "Dodelijke Minachting"
pool.channel.name.0316: "Koude Boor"
pool.channel.name.0317: "Oud Ethos"
pool.channel.name.0318: "Krijsende Afstand"
pool.channel.name.0319: "Vervloekt Geleidelijke"
pool.channel.name.0320: "Verboden Spleet"
pool.channel.name.0321: "Verloren Kom"
pool.channel.name.0322: "Roestige Delta"
pool.channel.name.0323: "Hemelse Spijs"
pool.channel.name.0324: "Nieuwe Graas"
pool.channel.name.0325: "Stralend Atrium"
pool.channel.name.0326: "Gezegende Zigeuner"
pool.channel.name.0327: "Oud Glazuur"
pool.channel.name.0328: "Nieuwe Clan"
pool.channel.name.0329: "Eeuwenoude Gletsjer"
pool.channel.name.0330: "Jonge Scheiding"
pool.channel.name.0331: "Smaragden Kudde"
pool.channel.name.0332: "Nieuw Voetbankje"
pool.channel.name.0333: "Goddelijke Machine"
pool.channel.name.0334: "Gloeiende Rand"
pool.channel.name.0335: "Heilig Vasten"
pool.channel.name.0336: "Wilde Halsberg"
pool.channel.name.0337: "Verloren Filiaal"
pool.channel.name.0338: "Vergeten Saaiheid"
pool.channel.name.0339: "Gezegende Vergelijking"
pool.channel.name.0340: "Stille Broederschap"
pool.channel.name.0341: "Koude Goedheid"
pool.channel.name.0342: "Afgrondelijke Pluis"
pool.channel.name.0343: "Verloren Onderzoek"
pool.channel.name.0344: "Schaduw Euforie"
pool.channel.name.0345: "Zilveren Vreugde"
pool.channel.name.0346: "Verboden Angst"
pool.channel.name.0347: "Dodelijke Gok"
pool.channel.name.0348: "Verloren Woning"
pool.channel.name.0349: "Bezoedelde Jaarmarkt"
pool.channel.name.0350: "Goddelijk Falen"
pool.channel.name.0351: "Verboden Vloer"
pool.channel.name.0352: "Gloeiende Omdraai"
pool.channel.name.0353: "Brandende Voorraad"
pool.channel.name.0354: "Wild Gevoel"
pool.channel.name.0355: "Heilig Afgrijselijke"
pool.channel.name.0356: "Wilde Opkomst"
pool.channel.name.0357: "Zilveren Gloeidraad"
pool.channel.name.0358: "Heilige Glucose"
pool.channel.name.0359: "Wild Groen"
pool.channel.name.0360: "Jonge Uitzetting"
pool.channel.name.0361: "Gouden Koepel"
pool.channel.name.0362: "Roestige Geur"
pool.channel.name.0363: "Mystiek Veulen"
pool.channel.name.0364: "Fataal Gevecht"
pool.channel.name.0365: "Zilveren Val"
pool.channel.name.0366: "Fluisterend Epigraaf"
pool.channel.name.0367: "Nieuwe Deuropening"
pool.channel.name.0368: "Wild Vet"
pool.channel.name.0369: "Bevroren Vuist"
pool.channel.name.0370: "Stille Vete"
pool.channel.name.0371: "Verloren Gallisch"
pool.channel.name.0372: "Fluisterende Penning"
pool.channel.name.0373: "Stille Garage"
pool.channel.name.0374: "Krijsende Grondeekhoorn"
pool.channel.name.0375: "Roestige Druppel"
pool.channel.name.0376: "Krijsende Gids"
pool.channel.name.0377: "Duistere Graal"
pool.channel.name.0378: "Zilveren Geest"
pool.channel.name.0379: "Bevroren Vlo"
pool.channel.name.0380: "Helse Fooi"
pool.channel.name.0381: "Koude Slokdarm"
pool.channel.name.0382: "Leegte Kanaal"
pool.channel.name.0383: "Jonge Gast"
pool.channel.name.0384: "Bevroren Verheerlijking"
pool.channel.name.0385: "Fluisterende Flikkering"
pool.channel.name.0386: "Oer-Prop"
pool.channel.name.0387: "Brandende Galg"
pool.channel.name.0388: "Vervloekte Veelvraat"
pool.channel.name.0389: "Dodelijke Gorgon"
pool.channel.name.0390: "IJzeren Groef"
pool.channel.name.0391: "Jonge Uitsluiting"
pool.channel.name.0392: "Vergeten Franje"
pool.channel.name.0393: "Oud Eufemisme"
pool.channel.name.0394: "Bezoedelde Ingenieur"
pool.channel.name.0395: "Jonge Epoxy"
pool.channel.name.0396: "IJzeren Uitgang"
pool.channel.name.0397: "Gezegende Golfbreker"
pool.channel.name.0398: "Stalen Eindeloosheid"
pool.channel.name.0399: "Goddelijke Equinox"
pool.channel.name.0400: "Stalen Uitlevering"
pool.channel.name.0401: "Koude Adel"
pool.channel.name.0402: "Gouden Federatie"
pool.channel.name.0403: "Hemelse Afgezant"
pool.channel.name.0404: "Stralende Voordrachtskunst"
pool.channel.name.0405: "Vergeten Geloof"
pool.channel.name.0406: "Stralende Bijeenkomst"
pool.channel.name.0407: "Vervloekte Razernij"
pool.channel.name.0408: "Duistere Droom"
pool.channel.name.0409: "Brandende Grot"
pool.channel.name.0410: "Gouden Gondel"
pool.channel.name.0411: "Mystieke Droesem"
pool.channel.name.0412: "Oer-Voorde"
pool.channel.name.0413: "Vergeten Economie"
pool.channel.name.0414: "Oer-Galop"
pool.channel.name.0415: "Helse Episode"
pool.channel.name.0416: "Afgrondelijke Glinstering"
pool.channel.name.0417: "Nieuw Ooglid"
pool.channel.name.0418: "Heilige Groei"
pool.channel.name.0419: "Fatale Welluidendheid"
pool.channel.name.0420: "IJzeren Eeuwigheid"
pool.channel.name.0421: "Heilig Aquaduct"
pool.channel.name.0422: "Brandende Tocht"
pool.channel.name.0423: "Duister Vlees"
pool.channel.name.0424: "Oer-Grootmoeder"
pool.channel.name.0425: "Schaduw Grens"
pool.channel.name.0426: "Nieuwe Kooi"
pool.channel.name.0427: "Brandend Villen"
pool.channel.name.0428: "Eeuwenoude Etiquette"
pool.channel.name.0429: "Afgrondelijke Slagtand"
pool.channel.name.0430: "Leegte Tweevoud"
pool.channel.name.0431: "Koude Bosjes"
pool.channel.name.0432: "Verboden Schatkist"
pool.channel.name.0433: "Jonge Pand"
pool.channel.name.0434: "Mystieke Vorm"
pool.channel.name.0435: "Brandende Gum"
pool.channel.name.0436: "Stalen Esoterie"
pool.channel.name.0437: "Bevroren Korhoen"
pool.channel.name.0438: "Duister Arendsnest"
pool.channel.name.0439: "Stralende Mode"
pool.channel.name.0440: "Krijsende God"
pool.channel.name.0441: "Eeuwenoude Volheid"
pool.channel.name.0442: "Leegte Glimmer"
pool.channel.name.0443: "Nieuw Gigantisch"
pool.channel.name.0444: "Nieuwe Familiar"
pool.channel.name.0445: "Goddelijke Grief"
pool.channel.name.0446: "Eeuwenoude Draaiing"
pool.channel.name.0447: "Leegte Spel"
pool.channel.name.0448: "Hemelse Walging"
pool.channel.name.0449: "Oer-Emigrant"
pool.channel.name.0450: "Zilveren Kern"
pool.channel.name.0451: "Fatale Kern"
pool.channel.name.0452: "Krijsend Evenwicht"
pool.channel.name.0453: "Gloeiende Film"
pool.channel.name.0454: "Bezoedeld Hertogdom"
pool.channel.name.0455: "Bezoedeld Essay"
pool.channel.name.0456: "Bezoedelde Gom"
pool.channel.name.0457: "Heilig Embargo"
pool.channel.name.0458: "Hemelse Brandstichter"
pool.channel.name.0459: "Vergeten Buiging"
pool.channel.name.0460: "Oer-Vrolijkheid"
pool.channel.name.0461: "Afgrondelijk Kruispunt"
pool.channel.name.0462: "Smaragden Vrouw"
pool.channel.name.0463: "Helse Edelsteen"
pool.channel.name.0464: "Goddelijk Doopvont"
pool.channel.name.0465: "Hemelse Gevangenis"
pool.channel.name.0466: "Verboden Vriend"
pool.channel.name.0467: "Dodelijk Bastion"
pool.channel.name.0468: "Stille Kerker"
pool.channel.name.0469: "Gouden Expansie"
pool.channel.name.0470: "Jonge Diefstal"
pool.channel.name.0471: "IJzeren Ei"
pool.channel.name.0472: "Smaragden Vermaning"
pool.channel.name.0473: "Leegte Flora"
pool.channel.name.0474: "Brandende Duisternis"
pool.channel.name.0475: "Stille Verbinding"
pool.channel.name.0476: "Koude Belvedère"
pool.channel.name.0477: "Stalen Tast"
pool.channel.name.0478: "Zilveren Februari"
pool.channel.name.0479: "Stalen Fortuin"
pool.channel.name.0480: "Leegte Extravagantie"
pool.channel.name.0481: "Smaragden Handhaving"
pool.channel.name.0482: "Etherisch Excuus"
pool.channel.name.0483: "Jonge Vlaag"
pool.channel.name.0484: "Stille Elf"
pool.channel.name.0485: "IJzeren District"
pool.channel.name.0486: "Zilveren Bouwwerk"
pool.channel.name.0487: "Goddelijk Entertainment"
pool.channel.name.0488: "Jonge Helling"
pool.channel.name.0489: "Stralende Kerel"
pool.channel.name.0490: "IJzeren Gnosticus"
pool.channel.name.0491: "Eeuwenoude Butte"
pool.channel.name.0492: "Fluisterende Valk"
pool.channel.name.0493: "Nieuw Flamboyant"
pool.channel.name.0494: "Koude Finale"
pool.channel.name.0495: "Brandende Afweer"
pool.channel.name.0496: "Stralende Garantie"
pool.channel.name.0497: "Bevroren Vijand"
pool.channel.name.0498: "Krijsende Slakken"
pool.channel.name.0499: "Wilde Overdrijving"
pool.channel.name.0500: "Verborgen Vestiging"
pool.channel.name.0501: "Duistere Veer"
pool.channel.name.0502: "Helse Vondst"
pool.channel.name.0503: "Vervloekt Schuim"
pool.channel.name.0504: "Heilige Veertien Dagen"
pool.channel.name.0505: "Gouden Vloeiendheid"
pool.channel.name.0506: "Vervloekt Bestaan"
pool.channel.name.0507: "Gloeiend Knoestig"
pool.channel.name.0508: "Goddelijke Slaapzaal"
pool.channel.name.0509: "Stille Vlag"
pool.channel.name.0510: "Vervloekte Impasse"
pool.channel.name.0511: "Gloeiende Gedaante"
pool.channel.name.0512: "Smaragden Schilfer"
pool.channel.name.0513: "Oer-Ontlading"
pool.channel.name.0514: "Koude Voer"
pool.channel.name.0515: "Etherische Fontein"
pool.channel.name.0516: "Heilige Opwinding"
pool.channel.name.0517: "Duister Baken"
pool.channel.name.0518: "Stralende Bruis"
pool.channel.name.0519: "Afgrondelijke Verbittering"
pool.channel.name.0520: "Stalen Veinzen"
pool.channel.name.0521: "Koude Oor"
pool.channel.name.0522: "Fatale Kan"
pool.channel.name.0523: "Etherische Guirlande"
pool.channel.name.0524: "Afgrondelijke Druif"
pool.channel.name.0525: "Afgrondelijk Fort"
pool.channel.name.0526: "Goddelijke Flits"
pool.channel.name.0527: "IJzeren Voor"
pool.channel.name.0528: "Verloren Beheersing"
pool.channel.name.0529: "Gezegende Duiker"
pool.channel.name.0530: "Bezoedelde Guinee"
pool.channel.name.0531: "Verborgen Goedkeuring"
pool.channel.name.0532: "Gezegend Front"
pool.channel.name.0533: "Koude Godin"
pool.channel.name.0534: "Stalen Cirkel"
pool.channel.name.0535: "Schaduw Omtrek"
pool.channel.name.0536: "Oude Uitmuntendheid"
pool.channel.name.0537: "Mystieke Eeuwigheid"
pool.channel.name.0538: "Heilige Evolutie"
pool.channel.name.0539: "Stralende Gazet"
pool.channel.name.0540: "Wilde Gaas"
pool.channel.name.0541: "Gouden Verlof"
pool.channel.name.0542: "Etherische Oogdruppel"
pool.channel.name.0543: "Stille Afpersing"
pool.channel.name.0544: "Verborgen Schotel"
pool.channel.name.0545: "Nieuw Uitstapje"
pool.channel.name.0546: "Verboden Opzichtigheid"
pool.channel.name.0547: "Verborgen Gras"
pool.channel.name.0548: "Stralend Landgoed"
pool.channel.name.0549: "Jonge Dagboek"
pool.channel.name.0550: "Etherisch Escorte"
pool.channel.name.0551: "Eeuwenoude Bevriezing"
pool.channel.name.0552: "Mystiek Gordijn"
pool.channel.name.0553: "Leegte Depot"
pool.channel.name.0554: "Fatale Stichter"
pool.channel.name.0555: "Etherische Stroom"
pool.channel.name.0556: "Hels Gegrom"
pool.channel.name.0557: "Brandend Fataal"
pool.channel.name.0558: "Brandende Beerput"
pool.channel.name.0559: "Bevroren Gelukzaligheid"
pool.channel.name.0560: "Oer-Beek"
pool.channel.name.0561: "Verloren Koestering"
pool.channel.name.0562: "Vervloekte Slijpsteen"
pool.channel.name.0563: "Zilveren Hongersnood"
pool.channel.name.0564: "Jonge Faciliteit"
pool.channel.name.0565: "Fluisterende Vier"
pool.channel.name.0566: "Dodelijke Voetstap"
pool.channel.name.0567: "Leegte Overvloed"
pool.channel.name.0568: "Krijsende Vadem"
pool.channel.name.0569: "Heilige Kolonie"
pool.channel.name.0570: "Bezoedelde Expeditie"
pool.channel.name.0571: "Verborgen Boodschap"
pool.channel.name.0572: "Heilige Smederij"
pool.channel.name.0573: "Helse Factor"
pool.channel.name.0574: "Heilige Leegte"
pool.channel.name.0575: "Gezegende Bres"
pool.channel.name.0576: "Vervloekte Verplaatsing"
pool.channel.name.0577: "Oude Guano"
pool.channel.name.0578: "Oude Facet"
pool.channel.name.0579: "Heilig Domein"
pool.channel.name.0580: "Stralende Storm"
pool.channel.name.0581: "Krijsende Uitstoting"
pool.channel.name.0582: "Stralende Flauwte"
pool.channel.name.0583: "Koude Ontwijking"
pool.channel.name.0584: "Heilige Ergernis"
pool.channel.name.0585: "Schaduw Dankbaarheid"
pool.channel.name.0586: "Heilige Fictie"
pool.channel.name.0587: "Eeuwenoude Brommer"
pool.channel.name.0588: "Heilig Generiek"
pool.channel.name.0589: "Vervloekte Energie"
pool.channel.name.0590: "Hemelse Vrees"
pool.channel.name.0591: "Vergeten Enthousiasme"
pool.channel.name.0592: "Vervloekt Wapenschild"
pool.channel.name.0593: "Etherische Pas"
pool.channel.name.0594: "Mystieke Gadget"
pool.channel.name.0595: "Hemels Dubbelzinnige"
pool.channel.name.0596: "Oer-Vervaging"
pool.channel.name.0597: "Heilige Vouw"
pool.channel.name.0598: "Duistere Dichtheid"
pool.channel.name.0599: "Oude Vroegere"
pool.channel.name.0600: "Fluisterende Larve"
