pool.channel.name.0001: "Wrzeszczący Partyzant"
pool.channel.name.0066: "Pradawna Ponurość"
pool.channel.name.0067: "Zagubiona Oś"
pool.channel.name.0068: "Piekielny Ruch"
pool.channel.name.0069: "Otchłanny Kupiec"
pool.channel.name.0070: "Przeklęty Uścisk"
pool.channel.name.0071: "Pierwotny Goblin"
pool.channel.name.0072: "Młody Żołądek"
pool.channel.name.0073: "Jasne Zagrożenie"
pool.channel.name.0074: "Niebiańska Plotka"
pool.channel.name.0075: "Mroczny Pazur"
pool.channel.name.0076: "Zbezczeszczony Skutek"
pool.channel.name.0077: "Młode Espresso"
pool.channel.name.0078: "Srebrny Grubodziób"
pool.channel.name.0079: "Święta Galareta"
pool.channel.name.0080: "Stalowa Swawola"
pool.channel.name.0081: "Zabójczy Bufor"
pool.channel.name.0082: "Zimna Dziewczyna"
pool.channel.name.0083: "Pierwotny Wrak"
pool.channel.name.0084: "Dziki Chwyt"
pool.channel.name.0085: "Cichy Cenotaf"
pool.channel.name.0086: "Mroczna Hala"
pool.channel.name.0087: "Szmaragdowe Dobro"
pool.channel.name.0088: "Zapomniana Ucieczka"
pool.channel.name.0089: "Zbezczeszczone Oko"
pool.channel.name.0090: "Mroczny Trud"
pool.channel.name.0091: "Stalowy Frank"
pool.channel.name.0092: "Szepczący Gips"
pool.channel.name.0093: "Jasne Oświecenie"
pool.channel.name.0094: "Złoty Chrząst"
pool.channel.name.0095: "Stalowy Krok"
pool.channel.name.0096: "Stalowa Grobla"
pool.channel.name.0097: "Próżniowa Przerwa"
pool.channel.name.0098: "Jasne Przeczucie"
pool.channel.name.0099: "Zimna Kapsuła"
pool.channel.name.0100: "Boska Krypta"
pool.channel.name.0101: "Niebiańska Gromadność"
pool.channel.name.0102: "Otchłanny Dżentelmen"
pool.channel.name.0103: "Szepcząca Zatoczka"
pool.channel.name.0104: "Holy Zakręt"
pool.channel.name.0105: "Złoty Mruk"
pool.channel.name.0106: "Zagubiony Ogrom"
pool.channel.name.0107: "Pierwotny Towarzysz"
pool.channel.name.0108: "Przeklęta Dolina"
pool.channel.name.0109: "Lodowa Granica"
pool.channel.name.0110: "Holy Altana"
pool.channel.name.0111: "Starsza Korona"
pool.channel.name.0112: "Płonąca Groteska"
pool.channel.name.0113: "Śmiertelne Echo"
pool.channel.name.0114: "Mistyczna Cecha"
pool.channel.name.0115: "Złota Cisterna"
pool.channel.name.0116: "Zabójcze Okucie"
pool.channel.name.0117: "Gorący Zbiór"
pool.channel.name.0118: "Ukryta Garstka"
pool.channel.name.0119: "Jasny Folwark"
pool.channel.name.0120: "Cienista Ziemianka"
pool.channel.name.0121: "Żelazne Pochlebstwo"
pool.channel.name.0122: "Cicha Frędzla"
pool.channel.name.0123: "Lodowa Trwałość"
pool.channel.name.0124: "Złoty Strzał"
pool.channel.name.0125: "Lodowe Dziwadło"
pool.channel.name.0126: "Srebrne Wypełnienie"
pool.channel.name.0127: "Mistyczna Koja"
pool.channel.name.0128: "Święty Szmaragd"
pool.channel.name.0129: "Mistyczna Ambasada"
pool.channel.name.0130: "Mistyczna Firma"
pool.channel.name.0131: "Zardzewiała Retoryka"
pool.channel.name.0132: "Boski Dźwigar"
pool.channel.name.0133: "Nowy Flet"
pool.channel.name.0134: "Zabójcza Kruchość"
pool.channel.name.0135: "Mroczny Grymas"
pool.channel.name.0136: "Mroczne Staranie"
pool.channel.name.0137: "Jasna Eminencja"
pool.channel.name.0138: "Zakazany Faun"
pool.channel.name.0139: "Starsza Winda"
pool.channel.name.0140: "Młoda Folia"
pool.channel.name.0141: "Cienisty Ojciec"
pool.channel.name.0142: "Wrzeszcząca Wspaniałość"
pool.channel.name.0143: "Zakazana Flota"
pool.channel.name.0144: "Błogosławiony Spór"
pool.channel.name.0145: "Szmaragdowy Las"
pool.channel.name.0146: "Zimny Jerzy"
pool.channel.name.0147: "Zapomniany Chart"
pool.channel.name.0148: "Żelazne Mignięcie"
pool.channel.name.0149: "Mistyczny Basen"
pool.channel.name.0150: "Zagubiona Wściekłość"
pool.channel.name.0151: "Dziki Lodowiec"
pool.channel.name.0152: "Piekielny Uścisk"
pool.channel.name.0153: "Złoty Wydech"
pool.channel.name.0154: "Pierwotny Blask"
pool.channel.name.0155: "Młoda Kabała"
pool.channel.name.0156: "Zakazana Równość"
pool.channel.name.0157: "Mroczna Feta"
pool.channel.name.0158: "Starszy Wymiar"
pool.channel.name.0159: "Szepczące Odkrycie"
pool.channel.name.0160: "Szmaragdowy Autentyk"
pool.channel.name.0161: "Lodowa Niezgoda"
pool.channel.name.0162: "Żelazny Spichlerz"
pool.channel.name.0163: "Śmiertelne Ziarno"
pool.channel.name.0164: "Jasny Cylinder"
pool.channel.name.0165: "Otchłanna Mąka"
pool.channel.name.0166: "Zagubiony Gibon"
pool.channel.name.0167: "Piekielna Grzywna"
pool.channel.name.0168: "Pierwotna Koperta"
pool.channel.name.0169: "Zabójcze Pokolenie"
pool.channel.name.0170: "Srebrny Stajenny"
pool.channel.name.0171: "Gorące Opuszczenie"
pool.channel.name.0172: "Śmiertelny Chwyt"
pool.channel.name.0173: "Holy Znużenie"
pool.channel.name.0174: "Holy Wydział"
pool.channel.name.0175: "Zimny Kiełb"
pool.channel.name.0176: "Dzika Inżynieria"
pool.channel.name.0177: "Starszy Cep"
pool.channel.name.0178: "Dzika Groza"
pool.channel.name.0179: "Lodowa Cesarzowa"
pool.channel.name.0180: "Nowe Ćwiczenie"
pool.channel.name.0181: "Eteryczna Eulogia"
pool.channel.name.0182: "Święty Gubernator"
pool.channel.name.0183: "Zagubiony Byt"
pool.channel.name.0184: "Pierwotna Ósemka"
pool.channel.name.0185: "Gorący Diament"
pool.channel.name.0186: "Jasny Ogień"
pool.channel.name.0187: "Śmiertelna Oszczędność"
pool.channel.name.0188: "Płonący Strumień"
pool.channel.name.0189: "Szepcząca Nagląca potrzeba"
pool.channel.name.0190: "Święty Kościół"
pool.channel.name.0191: "Ukryta Wytrzymałość"
pool.channel.name.0192: "Cienista Emisja"
pool.channel.name.0193: "Boski Świder"
pool.channel.name.0194: "Szepcząca Eksmisja"
pool.channel.name.0195: "Ukryte Umeblowanie"
pool.channel.name.0196: "Jasny Gradient"
pool.channel.name.0197: "Starsza Makabra"
pool.channel.name.0198: "Starszy Pistolet"
pool.channel.name.0199: "Jasne Przewidywanie"
pool.channel.name.0200: "Płonące Geranium"
pool.channel.name.0201: "Zimne Powitanie"
pool.channel.name.0202: "Zapomniana Polana"
pool.channel.name.0203: "Niebiańska Flanka"
pool.channel.name.0204: "Przeklęty Bełkot"
pool.channel.name.0205: "Boskie Gryzienie"
pool.channel.name.0206: "Przeklęty Dok"
pool.channel.name.0207: "Zardzewiały Fanatyk"
pool.channel.name.0208: "Przeklęty Nagły przypadek"
pool.channel.name.0209: "Eteryczne Wysypisko"
pool.channel.name.0210: "Zardzewiała Grawitacja"
pool.channel.name.0211: "Boska Emulacja"
pool.channel.name.0212: "Lodowe Gdzieindziej"
pool.channel.name.0213: "Starszy Kieł"
pool.channel.name.0214: "Nowa Chata"
pool.channel.name.0215: "Młoda Przysługa"
pool.channel.name.0216: "Piekielny Trzepot"
pool.channel.name.0217: "Błogosławiony Bodziec"
pool.channel.name.0218: "Płonący Unik"
pool.channel.name.0219: "Płonąca Deprawacja"
pool.channel.name.0220: "Młody Wąwóz"
pool.channel.name.0221: "Próżniowa Głębia"
pool.channel.name.0222: "Niebiańska Harówka"
pool.channel.name.0223: "Zardzewiałe Łowisko"
pool.channel.name.0224: "Mroczna Esencja"
pool.channel.name.0225: "Jasna Kukła"
pool.channel.name.0226: "Starsza Gorączka"
pool.channel.name.0227: "Zbezczeszczony Triumf"
pool.channel.name.0228: "Szepcząca Chrząstka"
pool.channel.name.0229: "Zimna Wystawa"
pool.channel.name.0230: "Święta Okulary"
pool.channel.name.0231: "Gorąca Polewa"
pool.channel.name.0232: "Zakazana Koniunkcja"
pool.channel.name.0233: "Święta Władza"
pool.channel.name.0234: "Otchłanny Słoń"
pool.channel.name.0235: "Zimny Rozbłysk"
pool.channel.name.0236: "Srebrne Rządzenie"
pool.channel.name.0237: "Młoda Emocja"
pool.channel.name.0238: "Jasna Częstotliwość"
pool.channel.name.0239: "Holy Feudał"
pool.channel.name.0240: "Młody Granat"
pool.channel.name.0241: "Młody Przykład"
pool.channel.name.0242: "Młode Wcielenie"
pool.channel.name.0243: "Wrzeszczący Galon"
pool.channel.name.0244: "Holy Czosnek"
pool.channel.name.0245: "Starszy Fart"
pool.channel.name.0246: "Zakazane Przebaczenie"
pool.channel.name.0247: "Ukryte Gapienie"
pool.channel.name.0248: "Próżniowy Świetlik"
pool.channel.name.0249: "Wrzeszczący Pojedynek"
pool.channel.name.0250: "Dzika Zbieżność"
pool.channel.name.0251: "Gorąca Erupcja"
pool.channel.name.0252: "Płonąca Mucha"
pool.channel.name.0253: "Boski Pierwszy"
pool.channel.name.0254: "Złote Zakończenie"
pool.channel.name.0255: "Dzika Zatoka"
pool.channel.name.0256: "Szepczące Uprawnienie"
pool.channel.name.0257: "Mistyczna Dal"
pool.channel.name.0258: "Szmaragdowy Olbrzym"
pool.channel.name.0259: "Zbezczeszczona Kopuła"
pool.channel.name.0260: "Złota Wspólnota"
pool.channel.name.0261: "Wrzeszcząca Akcyza"
pool.channel.name.0262: "Otchłanny Zapał"
pool.channel.name.0263: "Zakazany Kierunek"
pool.channel.name.0264: "Przeklęty Chichot"
pool.channel.name.0265: "Zbezczeszczony Dołeczek"
pool.channel.name.0266: "Młode Pożegnanie"
pool.channel.name.0267: "Święty Przód"
pool.channel.name.0268: "Ukryty Fakt"
pool.channel.name.0269: "Jasne Wtargnięcie"
pool.channel.name.0270: "Piekielne Utopienie"
pool.channel.name.0271: "Zardzewiała Ekstrakcja"
pool.channel.name.0272: "Starszy Wybory"
pool.channel.name.0273: "Srebrne Staje"
pool.channel.name.0274: "Ukryty Ferment"
pool.channel.name.0275: "Srebrny Klif"
pool.channel.name.0276: "Złoty Szczyt"
pool.channel.name.0277: "Złoty Brud"
pool.channel.name.0278: "Dziki Finał"
pool.channel.name.0279: "Holy Fortyfikacja"
pool.channel.name.0280: "Młody Kołnierz"
pool.channel.name.0281: "Zimna Geometria"
pool.channel.name.0282: "Starsza Egzekucja"
pool.channel.name.0283: "Wrzeszczący Zespół"
pool.channel.name.0284: "Zbezczeszczony Naiwniak"
pool.channel.name.0285: "Eteryczna Ewangelia"
pool.channel.name.0286: "Młody Zgrzyt"
pool.channel.name.0287: "Pradawna Przekątna"
pool.channel.name.0288: "Cienisty Arsenał"
pool.channel.name.0289: "Młoda Pięćdziesiątka"
pool.channel.name.0290: "Zbezczeszczony Opar"
pool.channel.name.0291: "Zimny Krzemień"
pool.channel.name.0292: "Zapomniana Uciecha"
pool.channel.name.0293: "Próżniowe Wszędobylstwo"
pool.channel.name.0294: "Cichy Dynamit"
pool.channel.name.0295: "Nowe Bagna"
pool.channel.name.0296: "Stalowy Gogle"
pool.channel.name.0297: "Otchłanny Podmuch"
pool.channel.name.0298: "Młody Unik"
pool.channel.name.0299: "Zakazana Wskazówka"
pool.channel.name.0300: "Boskie Wygnanie"
pool.channel.name.0301: "Żelazna Wykwintność"
pool.channel.name.0302: "Gorący Jelonek"
pool.channel.name.0303: "Szmaragdowe Osłupienie"
pool.channel.name.0304: "Holy Chmura"
pool.channel.name.0305: "Srebrny Wysiłek"
pool.channel.name.0306: "Dziki Lejek"
pool.channel.name.0307: "Starsze Włókno"
pool.channel.name.0308: "Starszy Empiryzm"
pool.channel.name.0309: "Srebrny Duet"
pool.channel.name.0310: "Cichy Chód"
pool.channel.name.0311: "Młody Lis"
pool.channel.name.0312: "Śmiertelne Oszustwo"
pool.channel.name.0313: "Młoda Krawędź"
pool.channel.name.0314: "Starszy Gruzy"
pool.channel.name.0315: "Zabójcza Pogarda"
pool.channel.name.0316: "Zimne Wiertło"
pool.channel.name.0317: "Starszy Etos"
pool.channel.name.0318: "Wrzeszczący Dystans"
pool.channel.name.0319: "Przeklęte Stopniowanie"
pool.channel.name.0320: "Zakazane Pęknięcie"
pool.channel.name.0321: "Zagubiona Misa"
pool.channel.name.0322: "Zardzewiała Delta"
pool.channel.name.0323: "Niebiańska Opłata"
pool.channel.name.0324: "Nowy Wypas"
pool.channel.name.0325: "Jasne Atrium"
pool.channel.name.0326: "Błogosławiony Cygan"
pool.channel.name.0327: "Starsza Emalia"
pool.channel.name.0328: "Nowy Klan"
pool.channel.name.0329: "Pradawny Lodowiec"
pool.channel.name.0330: "Młody Podział"
pool.channel.name.0331: "Szmaragdowa Trzoda"
pool.channel.name.0332: "Nowy Podnóżek"
pool.channel.name.0333: "Boski Silnik"
pool.channel.name.0334: "Gorąca Krawędź"
pool.channel.name.0335: "Święty Post"
pool.channel.name.0336: "Dziki Gorget"
pool.channel.name.0337: "Zagubiona Filia"
pool.channel.name.0338: "Zapomniana Nuda"
pool.channel.name.0339: "Błogosławione Równanie"
pool.channel.name.0340: "Ciche Bractwo"
pool.channel.name.0341: "Zimne Piękno"
pool.channel.name.0342: "Otchłanny Meszek"
pool.channel.name.0343: "Zagubione Badanie"
pool.channel.name.0344: "Cienista Euforia"
pool.channel.name.0345: "Srebrna Radość"
pool.channel.name.0346: "Zakazany Strach"
pool.channel.name.0347: "Zabójczy Hazard"
pool.channel.name.0348: "Zagubione Mieszkanie"
pool.channel.name.0349: "Zbezczeszczony Targi"
pool.channel.name.0350: "Boska Porażka"
pool.channel.name.0351: "Zakazana Podłoga"
pool.channel.name.0352: "Gorący Fikołek"
pool.channel.name.0353: "Płonąca Skrytka"
pool.channel.name.0354: "Dzikie Uczucie"
pool.channel.name.0355: "Holy Zgroza"
pool.channel.name.0356: "Dzikie Wyłonienie"
pool.channel.name.0357: "Srebrne Włókno"
pool.channel.name.0358: "Holy Glukoza"
pool.channel.name.0359: "Dzika Zieleń"
pool.channel.name.0360: "Młode Wydalenie"
pool.channel.name.0361: "Złota Kopuła"
pool.channel.name.0362: "Zardzewiały Zapach"
pool.channel.name.0363: "Mistyczne Źrebię"
pool.channel.name.0364: "Śmiertelna Bitwa"
pool.channel.name.0365: "Srebrny Upadek"
pool.channel.name.0366: "Szepczący Epigraf"
pool.channel.name.0367: "Nowe Przejście"
pool.channel.name.0368: "Dziki Tłuszcz"
pool.channel.name.0369: "Lodowa Pięść"
pool.channel.name.0370: "Cicha Wojna"
pool.channel.name.0371: "Zagubiony Gal"
pool.channel.name.0372: "Szepczący Farting"
pool.channel.name.0373: "Cichy Garaż"
pool.channel.name.0374: "Wrzeszczący Suseł"
pool.channel.name.0375: "Zardzewiała Kropla"
pool.channel.name.0376: "Wrzeszczący Przewodnik"
pool.channel.name.0377: "Mroczny Graal"
pool.channel.name.0378: "Srebrny Dżinn"
pool.channel.name.0379: "Lodowa Pchła"
pool.channel.name.0380: "Piekielny Napiwek"
pool.channel.name.0381: "Zimny Przełyk"
pool.channel.name.0382: "Próżniowy Kanał"
pool.channel.name.0383: "Młody Gość"
pool.channel.name.0384: "Lodowa Eksaltacja"
pool.channel.name.0385: "Szepczące Migotanie"
pool.channel.name.0386: "Pierwotny Gag"
pool.channel.name.0387: "Płonąca Szubienica"
pool.channel.name.0388: "Przeklęty Żarłok"
pool.channel.name.0389: "Zabójcza Gorgona"
pool.channel.name.0390: "Żelazny Rowek"
pool.channel.name.0391: "Młode Wykluczenie"
pool.channel.name.0392: "Zapomniana Falbanka"
pool.channel.name.0393: "Starszy Eufemizm"
pool.channel.name.0394: "Zbezczeszczony Inżynier"
pool.channel.name.0395: "Młoda Żywica"
pool.channel.name.0396: "Żelazne Wyjście"
pool.channel.name.0397: "Błogosławiony Falochron"
pool.channel.name.0398: "Stalowa Nieskończoność"
pool.channel.name.0399: "Boska Równonoc"
pool.channel.name.0400: "Stalowa Ekstradycja"
pool.channel.name.0401: "Zimna Szlachta"
pool.channel.name.0402: "Złota Federacja"
pool.channel.name.0403: "Niebiański Emisariusz"
pool.channel.name.0404: "Jasna Wymowa"
pool.channel.name.0405: "Zapomniana Wiara"
pool.channel.name.0406: "Jasne Zgromadzenie"
pool.channel.name.0407: "Przeklęty Szał"
pool.channel.name.0408: "Mroczny Sen"
pool.channel.name.0409: "Płonąca Jaskinia"
pool.channel.name.0410: "Złota Gondola"
pool.channel.name.0411: "Mistyczny Męty"
pool.channel.name.0412: "Pierwotny Bród"
pool.channel.name.0413: "Zapomniana Ekonomia"
pool.channel.name.0414: "Pierwotny Galop"
pool.channel.name.0415: "Piekielny Epizod"
pool.channel.name.0416: "Otchłanne Lśnienie"
pool.channel.name.0417: "Nowa Powieka"
pool.channel.name.0418: "Święty Wzrost"
pool.channel.name.0419: "Śmiertelna Eufonia"
pool.channel.name.0420: "Żelazna Wieczność"
pool.channel.name.0421: "Holy Akwedukt"
pool.channel.name.0422: "Płonący Przeciąg"
pool.channel.name.0423: "Mroczne Ciało"
pool.channel.name.0424: "Pierwotna Babcia"
pool.channel.name.0425: "Cienista Granica"
pool.channel.name.0426: "Nowa Klatka"
pool.channel.name.0427: "Płonące Odzieranie"
pool.channel.name.0428: "Pradawna Etykieta"
pool.channel.name.0429: "Otchłanny Kieł"
pool.channel.name.0430: "Próżniowa Podwójność"
pool.channel.name.0431: "Zimny Gliny"
pool.channel.name.0432: "Zakazany Skarb"
pool.channel.name.0433: "Młody Zastaw"
pool.channel.name.0434: "Mistyczna Forma"
pool.channel.name.0435: "Płonąca Gumka"
pool.channel.name.0436: "Stalowa Ezoteryka"
pool.channel.name.0437: "Lodowy Głuszec"
pool.channel.name.0438: "Mroczne Gniazdo"
pool.channel.name.0439: "Jasna Moda"
pool.channel.name.0440: "Wrzeszczący Bóg"
pool.channel.name.0441: "Pradawna Pełnia"
pool.channel.name.0442: "Próżniowy Migot"
pool.channel.name.0443: "Nowy Gigant"
pool.channel.name.0444: "Nowy Chowaniec"
pool.channel.name.0445: "Boski Żal"
pool.channel.name.0446: "Pradawne Wirowanie"
pool.channel.name.0447: "Próżniowa Gra"
pool.channel.name.0448: "Niebiańskie Brutto"
pool.channel.name.0449: "Pierwotny Emigrant"
pool.channel.name.0450: "Srebrna Istota"
pool.channel.name.0451: "Śmiertelny Rdzeń"
pool.channel.name.0452: "Wrzeszcząca Równowaga"
pool.channel.name.0453: "Gorący Film"
pool.channel.name.0454: "Zbezczeszczone Księstwo"
pool.channel.name.0455: "Zbezczeszczony Esej"
pool.channel.name.0456: "Zbezczeszczona Guma"
pool.channel.name.0457: "Holy Embargo"
pool.channel.name.0458: "Niebiański Podżegacz"
pool.channel.name.0459: "Zapomniane Zgięcie"
pool.channel.name.0460: "Pierwotna Wesołość"
pool.channel.name.0461: "Otchłanne Rozstaje"
pool.channel.name.0462: "Szmaragdowa Samica"
pool.channel.name.0463: "Piekielny Klejnot"
pool.channel.name.0464: "Boska Chrzcielnica"
pool.channel.name.0465: "Niebiańskie Więzienie"
pool.channel.name.0466: "Zakazany Przyjaciel"
pool.channel.name.0467: "Zabójczy Bastion"
pool.channel.name.0468: "Cichy Loch"
pool.channel.name.0469: "Złota Ekspansja"
pool.channel.name.0470: "Młoda Kradzież"
pool.channel.name.0471: "Żelazne Jajko"
pool.channel.name.0472: "Szmaragdowa Zachęta"
pool.channel.name.0473: "Próżniowa Flora"
pool.channel.name.0474: "Płonąca Ciemność"
pool.channel.name.0475: "Cichy Łącznik"
pool.channel.name.0476: "Zimny Belweder"
pool.channel.name.0477: "Stalowe Macanie"
pool.channel.name.0478: "Srebrny Luty"
pool.channel.name.0479: "Stalowa Fortuna"
pool.channel.name.0480: "Próżniowa Ekstrawagancja"
pool.channel.name.0481: "Szmaragdowe Egzekwowanie"
pool.channel.name.0482: "Eteryczna Wymówka"
pool.channel.name.0483: "Młoda Zamieć"
pool.channel.name.0484: "Cichy Elf"
pool.channel.name.0485: "Żelazna Dzielnica"
pool.channel.name.0486: "Srebrna Erekcja"
pool.channel.name.0487: "Boska Rozrywka"
pool.channel.name.0488: "Młody Stok"
pool.channel.name.0489: "Jasny Facet"
pool.channel.name.0490: "Żelazny Gnostyk"
pool.channel.name.0491: "Pradawne Wzgórze"
pool.channel.name.0492: "Szepczący Sokół"
pool.channel.name.0493: "Nowy Flamboyant"
pool.channel.name.0494: "Zimny Finał"
pool.channel.name.0495: "Płonąca Obrona"
pool.channel.name.0496: "Jasna Gwarancja"
pool.channel.name.0497: "Lodowy Wróg"
pool.channel.name.0498: "Wrzeszczący Żużel"
pool.channel.name.0499: "Dzika Przesada"
pool.channel.name.0500: "Ukryta Placówka"
pool.channel.name.0501: "Mroczne Pióro"
pool.channel.name.0502: "Piekielne Znalezisko"
pool.channel.name.0503: "Przeklęta Piana"
pool.channel.name.0504: "Holy Dwa tygodnie"
pool.channel.name.0505: "Złota Biegłość"
pool.channel.name.0506: "Przeklęte Istnienie"
pool.channel.name.0507: "Gorący Sęk"
pool.channel.name.0508: "Boska Sypialnia"
pool.channel.name.0509: "Cicha Flaga"
pool.channel.name.0510: "Przeklęty Zator"
pool.channel.name.0511: "Gorący Pozór"
pool.channel.name.0512: "Szmaragdowy Płatek"
pool.channel.name.0513: "Pierwotny Wystrzał"
pool.channel.name.0514: "Zimna Karma"
pool.channel.name.0515: "Eteryczna Fontanna"
pool.channel.name.0516: "Święte Podniecenie"
pool.channel.name.0517: "Mroczna Latarnia"
pool.channel.name.0518: "Jasne Syczenie"
pool.channel.name.0519: "Otchłanna Irytacja"
pool.channel.name.0520: "Stalowe Pozorowanie"
pool.channel.name.0521: "Zimne Ucho"
pool.channel.name.0522: "Śmiertelny Gąsior"
pool.channel.name.0523: "Eteryczna Girlanda"
pool.channel.name.0524: "Otchłanne Winogrono"
pool.channel.name.0525: "Otchłanny Fort"
pool.channel.name.0526: "Boskie Śmiganie"
pool.channel.name.0527: "Żelazna Bruzda"
pool.channel.name.0528: "Zagubiony Krawężnik"
pool.channel.name.0529: "Błogosławiony Przepust"
pool.channel.name.0530: "Zbezczeszczona Gwinea"
pool.channel.name.0531: "Ukryte Poparcie"
pool.channel.name.0532: "Błogosławiony Front"
pool.channel.name.0533: "Zimna Bogini"
pool.channel.name.0534: "Stalowy Krąg"
pool.channel.name.0535: "Cienisty Obwód"
pool.channel.name.0536: "Starsza Doskonałość"
pool.channel.name.0537: "Mistyczna Wieczność"
pool.channel.name.0538: "Holy Ewolucja"
pool.channel.name.0539: "Jasna Gazeta"
pool.channel.name.0540: "Dzika Gaza"
pool.channel.name.0541: "Złoty Urlop"
pool.channel.name.0542: "Eteryczna Kropla"
pool.channel.name.0543: "Ciche Wymuszenie"
pool.channel.name.0544: "Ukryte Danie"
pool.channel.name.0545: "Nowy Wypad"
pool.channel.name.0546: "Zakazana Jaskrawość"
pool.channel.name.0547: "Ukryta Trawa"
pool.channel.name.0548: "Jasna Posiadłość"
pool.channel.name.0549: "Młody Dziennik"
pool.channel.name.0550: "Eteryczna Eskorta"
pool.channel.name.0551: "Ancient Frozen"
pool.channel.name.0552: "Mistyczna Zasłona"
pool.channel.name.0553: "Próżniowa Zajezdnia"
pool.channel.name.0554: "Śmiertelny Założyciel"
pool.channel.name.0555: "Eteryczny Przepływ"
pool.channel.name.0556: "Piekielny Warkot"
pool.channel.name.0557: "Płonące Fatum"
pool.channel.name.0558: "Płonące Szambo"
pool.channel.name.0559: "Lodowe Szczęście"
pool.channel.name.0560: "Pierwotny Strumyk"
pool.channel.name.0561: "Zagubione Wychowanie"
pool.channel.name.0562: "Przeklęta Osełka"
pool.channel.name.0563: "Srebrny Głód"
pool.channel.name.0564: "Młody Obiekt"
pool.channel.name.0565: "Szepcząca Czwórka"
pool.channel.name.0566: "Zabójczy Ślad"
pool.channel.name.0567: "Próżniowa Obfitość"
pool.channel.name.0568: "Wrzeszczący Sążeń"
pool.channel.name.0569: "Holy Kolonia"
pool.channel.name.0570: "Zbezczeszczona Wyprawa"
pool.channel.name.0571: "Ukryta Posyłka"
pool.channel.name.0572: "Holy Kuźnia"
pool.channel.name.0573: "Piekielny Czynnik"
pool.channel.name.0574: "Święta Pustka"
pool.channel.name.0575: "Błogosławiony Wyłom"
pool.channel.name.0576: "Przeklęte Przesunięcie"
pool.channel.name.0577: "Starsze Guano"
pool.channel.name.0578: "Starszy Aspekt"
pool.channel.name.0579: "Holy Domeny"
pool.channel.name.0580: "Jasny Wicher"
pool.channel.name.0581: "Wrzeszczący Wyrzut"
pool.channel.name.0582: "Jasne Omdlenie"
pool.channel.name.0583: "Zimny Unik"
pool.channel.name.0584: "Holy Próg"
pool.channel.name.0585: "Cienista Wdzięczność"
pool.channel.name.0586: "Holy Fikcja"
pool.channel.name.0587: "Pradawny Truteń"
