pool.channel.name.0001: "Guérilla Hurlante"
pool.channel.name.0100: "Crypte Divine"
pool.channel.name.0101: "Grégaire Céleste"
pool.channel.name.0102: "Gentilhomme Abyssal"
pool.channel.name.0103: "Marécage Murmurant"
pool.channel.name.0104: "Courbe Holy"
pool.channel.name.0105: "Grogne Dorée"
pool.channel.name.0106: "Énormité Perdue"
pool.channel.name.0107: "Compagnon Primordial"
pool.channel.name.0108: "Vallon Maudit"
pool.channel.name.0109: "Frontière Gelée"
pool.channel.name.0110: "Tonnelle Holy"
pool.channel.name.0111: "Couronne Ancienne"
pool.channel.name.0112: "Grotesque Brûlant"
pool.channel.name.0113: "Écho Létal"
pool.channel.name.0114: "Caractéristique Mystique"
pool.channel.name.0115: "Citerne Dorée"
pool.channel.name.0116: "Entrave Mortelle"
pool.channel.name.0117: "Glanage Ardent"
pool.channel.name.0118: "Peu Caché"
pool.channel.name.0119: "Grange Éclatante"
pool.channel.name.0120: "Abri des Ombres"
pool.channel.name.0121: "Flatterie de Fer"
pool.channel.name.0122: "Frange Silencieuse"
pool.channel.name.0123: "Durabilité Gelée"
pool.channel.name.0124: "Coup de feu Doré"
pool.channel.name.0125: "Monstre Gelé"
pool.channel.name.0126: "Remplissage d'Argent"
pool.channel.name.0127: "Couchette Mystique"
pool.channel.name.0128: "Émeraude Sacrée"
pool.channel.name.0129: "Ambassade Mystique"
pool.channel.name.0130: "Firme Mystique"
pool.channel.name.0131: "Éloquence Rouillée"
pool.channel.name.0132: "Poutre Divine"
pool.channel.name.0133: "Flûte Nouvelle"
pool.channel.name.0134: "Fragile Mortel"
pool.channel.name.0135: "Grimace Sombre"
pool.channel.name.0136: "Effort Sombre"
pool.channel.name.0137: "Éminence Éclatante"
pool.channel.name.0138: "Faune Interdit"
pool.channel.name.0139: "Ascenseur Ancien"
pool.channel.name.0140: "Fleuret Jeune"
pool.channel.name.0141: "Père des Ombres"
pool.channel.name.0142: "Grandeur Hurlante"
pool.channel.name.0143: "Flotte Interdite"
pool.channel.name.0144: "Dispute Bénie"
pool.channel.name.0145: "Forêt d'Émeraude"
pool.channel.name.0146: "George Glacial"
pool.channel.name.0147: "Lévrier Oublié"
pool.channel.name.0148: "Aperçu de Fer"
pool.channel.name.0149: "Bassin Mystique"
pool.channel.name.0150: "Enragé Perdu"
pool.channel.name.0151: "Glacier Sauvage"
pool.channel.name.0152: "Poigne Infernale"
pool.channel.name.0153: "Exhalaison Dorée"
pool.channel.name.0154: "Regard Primordial"
pool.channel.name.0155: "Cabale Jeune"
pool.channel.name.0156: "Équidistant Interdit"
pool.channel.name.0157: "Fête Sombre"
pool.channel.name.0158: "Dimension Ancienne"
pool.channel.name.0159: "Découverte Murmurante"
pool.channel.name.0160: "Authentique d'Émeraude"
pool.channel.name.0161: "Discorde Gelée"
pool.channel.name.0162: "Grenier de Fer"
pool.channel.name.0163: "Grain Létal"
pool.channel.name.0164: "Cylindre Éclatant"
pool.channel.name.0165: "Farine Abyssal"
pool.channel.name.0166: "Gibbon Perdu"
pool.channel.name.0167: "Amende Infernale"
pool.channel.name.0168: "Enveloppe Primordiale"
pool.channel.name.0169: "Génération Mortelle"
pool.channel.name.0170: "Palefrenier d'Argent"
pool.channel.name.0171: "Délaissé Ardent"
pool.channel.name.0172: "Saisie Létale"
pool.channel.name.0173: "Fatigue Holy"
pool.channel.name.0174: "Faculté Holy"
pool.channel.name.0175: "Goujon Glacial"
pool.channel.name.0176: "Ingénierie Sauvage"
pool.channel.name.0177: "Fléau Ancien"
pool.channel.name.0178: "Formidable Sauvage"
pool.channel.name.0179: "Impératrice Gelée"
pool.channel.name.0180: "Exercice Nouveau"
pool.channel.name.0181: "Éloge Éthéré"
pool.channel.name.0182: "Gouverneur Sacré"
pool.channel.name.0183: "Entité Perdue"
pool.channel.name.0184: "Huit Primordial"
pool.channel.name.0185: "Diamant Ardent"
pool.channel.name.0186: "Feu Éclatant"
pool.channel.name.0187: "Frugal Létal"
pool.channel.name.0188: "Ruisseau Brûlant"
pool.channel.name.0189: "Exigence Murmurante"
pool.channel.name.0190: "Église Sacrée"
pool.channel.name.0191: "Endurance Cachée"
pool.channel.name.0192: "Émission des Ombres"
pool.channel.name.0193: "Vrille Divine"
pool.channel.name.0194: "Expulsion Murmurante"
pool.channel.name.0195: "Mobilier Caché"
pool.channel.name.0196: "Gradient Éclatant"
pool.channel.name.0197: "Lugubre Ancien"
pool.channel.name.0198: "Fusil Ancien"
pool.channel.name.0199: "Prévoyance Éclatante"
pool.channel.name.0200: "Géranium Brûlant"
pool.channel.name.0201: "Accueil Glacial"
pool.channel.name.0202: "Clairière Oubliée"
pool.channel.name.0203: "Flanc Céleste"
pool.channel.name.0204: "Gargouillis Maudit"
pool.channel.name.0205: "Rongement Divin"
pool.channel.name.0206: "Quai Maudit"
pool.channel.name.0207: "Fanatique Rouillé"
pool.channel.name.0208: "Urgence Maudite"
pool.channel.name.0209: "Décharge Éthérée"
pool.channel.name.0210: "Gravité Rouillée"
pool.channel.name.0211: "Émulation Divine"
pool.channel.name.0212: "Ailleurs Gelé"
pool.channel.name.0213: "Canine Ancienne"
pool.channel.name.0214: "Chaumière Nouvelle"
pool.channel.name.0215: "Faveur Jeune"
pool.channel.name.0216: "Battement Infernal"
pool.channel.name.0217: "Aiguillon Béni"
pool.channel.name.0218: "Élusion Brûlante"
pool.channel.name.0219: "Dépravation Brûlante"
pool.channel.name.0220: "Ravine Jeune"
pool.channel.name.0221: "Profondeur du Vide"
pool.channel.name.0222: "Labeur Céleste"
pool.channel.name.0223: "Pêcherie Rouillée"
pool.channel.name.0224: "Essence Sombre"
pool.channel.name.0225: "Effigie Éclatante"
pool.channel.name.0226: "Fièvre Ancienne"
pool.channel.name.0227: "Schadenfreude Souillé"
pool.channel.name.0228: "Cartilage Murmurant"
pool.channel.name.0229: "Exposition Glaciale"
pool.channel.name.0230: "Lorgnon Sacré"
pool.channel.name.0231: "Glaçage Ardent"
pool.channel.name.0232: "Conjonction Interdite"
pool.channel.name.0233: "Exécutif Sacré"
pool.channel.name.0234: "Éléphant Abyssal"
pool.channel.name.0235: "Éclat Glacial"
pool.channel.name.0236: "Gouvernance d'Argent"
pool.channel.name.0237: "Émotion Jeune"
pool.channel.name.0238: "Fréquence Éclatante"
pool.channel.name.0239: "Féodal Holy"
pool.channel.name.0240: "Grenade Jeune"
pool.channel.name.0241: "Exemple Jeune"
pool.channel.name.0242: "Incarnation Jeune"
pool.channel.name.0243: "Gallon Hurlant"
pool.channel.name.0244: "Ail Holy"
pool.channel.name.0245: "Coup de chance Ancien"
pool.channel.name.0246: "Pardon Interdit"
pool.channel.name.0247: "Regard béat Caché"
pool.channel.name.0248: "Luciole du Vide"
pool.channel.name.0249: "Duel Hurlant"
pool.channel.name.0250: "Convergence Sauvage"
pool.channel.name.0251: "Éruption Ardente"
pool.channel.name.0252: "Mouche Brûlante"
pool.channel.name.0253: "Premier Divin"
pool.channel.name.0254: "Fin Dorée"
pool.channel.name.0255: "Crique Sauvage"
pool.channel.name.0256: "Autonomisation Murmurante"
pool.channel.name.0257: "Lointain Mystique"
pool.channel.name.0258: "Énorme d'Émeraude"
pool.channel.name.0259: "Coupole Souillée"
pool.channel.name.0260: "Communs Dorés"
pool.channel.name.0261: "Accise Hurlante"
pool.channel.name.0262: "Ferveur Abyssal"
pool.channel.name.0263: "Direction Interdite"
pool.channel.name.0264: "Ricanement Maudit"
pool.channel.name.0265: "Fossette Souillée"
pool.channel.name.0266: "Adieu Jeune"
pool.channel.name.0267: "Premier Sacré"
pool.channel.name.0268: "Fait Caché"
pool.channel.name.0269: "Empiètement Éclatant"
pool.channel.name.0270: "Noyade Infernale"
pool.channel.name.0271: "Extraction Rouillée"
pool.channel.name.0272: "Élection Ancienne"
pool.channel.name.0273: "Stade d'Argent"
pool.channel.name.0274: "Ferment Caché"
pool.channel.name.0275: "Falaise d'Argent"
pool.channel.name.0276: "Pignon Doré"
pool.channel.name.0277: "Crasse Dorée"
pool.channel.name.0278: "Finition Sauvage"
pool.channel.name.0279: "Fortification Holy"
pool.channel.name.0280: "Bride Jeune"
pool.channel.name.0281: "Géométrie Glaciale"
pool.channel.name.0282: "Exécution Ancienne"
pool.channel.name.0283: "Ensemble Hurlant"
pool.channel.name.0284: "Dupe Souillée"
pool.channel.name.0285: "Évangélisme Éthéré"
pool.channel.name.0286: "Grincement Jeune"
pool.channel.name.0287: "Diagonale Antique"
pool.channel.name.0288: "Arsenal des Ombres"
pool.channel.name.0289: "Cinquante Jeune"
pool.channel.name.0290: "Fumée Souillée"
pool.channel.name.0291: "Silex Glacial"
pool.channel.name.0292: "Gratification Oubliée"
pool.channel.name.0293: "Partout du Vide"
pool.channel.name.0294: "Dynamite Silencieuse"
pool.channel.name.0295: "Marais Nouveau"
pool.channel.name.0296: "Lunettes d'Acier"
pool.channel.name.0297: "Rafale Abyssal"
pool.channel.name.0298: "Évasion Jeune"
pool.channel.name.0299: "Guidage Interdit"
pool.channel.name.0300: "Exil Divin"
pool.channel.name.0301: "Iron Ex exquisite"
pool.channel.name.0302: "Faon Ardent"
pool.channel.name.0303: "Stupeur d'Émeraude"
pool.channel.name.0304: "Nuage Holy"
pool.channel.name.0305: "Effort d'Argent"
pool.channel.name.0306: "Entonnoir Sauvage"
pool.channel.name.0307: "Fibre Ancienne"
pool.channel.name.0308: "Empirisme Ancien"
pool.channel.name.0309: "Duo d'Argent"
pool.channel.name.0310: "Allure Silencieuse"
pool.channel.name.0311: "Renard Jeune"
pool.channel.name.0312: "Fraude Létale"
pool.channel.name.0313: "Bord Jeune"
pool.channel.name.0314: "Débris Ancien"
pool.channel.name.0315: "Dédain Mortel"
pool.channel.name.0316: "Foret Glacial"
pool.channel.name.0317: "Ethos Ancien"
pool.channel.name.0318: "Distance Hurlante"
pool.channel.name.0319: "Graduel Maudit"
pool.channel.name.0320: "Fissure Interdite"
pool.channel.name.0321: "Bol Perdu"
pool.channel.name.0322: "Delta Rouillé"
pool.channel.name.0323: "Tarif Céleste"
pool.channel.name.0324: "Pâturage Nouveau"
pool.channel.name.0325: "Atrium Éclatant"
pool.channel.name.0326: "Gitan Béni"
pool.channel.name.0327: "Émail Ancien"
pool.channel.name.0328: "Clan Nouveau"
pool.channel.name.0329: "Glacier Antique"
pool.channel.name.0330: "Division Jeune"
pool.channel.name.0331: "Troupeau d'Émeraude"
pool.channel.name.0332: "Tabouret Nouveau"
pool.channel.name.0333: "Moteur Divin"
pool.channel.name.0334: "Bord Ardent"
pool.channel.name.0335: "Jeûne Sacré"
pool.channel.name.0336: "Gorgerin Sauvage"
pool.channel.name.0337: "Filial Perdu"
pool.channel.name.0338: "Terne Oublié"
pool.channel.name.0339: "Équation Bénie"
pool.channel.name.0340: "Fraternité Silencieuse"
pool.channel.name.0341: "Beau Glacial"
pool.channel.name.0342: "Duvet Abyssal"
pool.channel.name.0343: "Examen Perdu"
pool.channel.name.0344: "Euphorie des Ombres"
pool.channel.name.0345: "Exaltation d'Argent"
pool.channel.name.0346: "Peur Interdite"
pool.channel.name.0347: "Pari Mortel"
pool.channel.name.0348: "Demeure Perdue"
pool.channel.name.0349: "Foire Souillée"
pool.channel.name.0350: "Échec Divin"
pool.channel.name.0351: "Plancher Interdit"
pool.channel.name.0352: "Saut Ardent"
pool.channel.name.0353: "Cache Brûlant"
pool.channel.name.0354: "Sensation Sauvage"
pool.channel.name.0355: "Atroce Holy"
pool.channel.name.0356: "Émergence Sauvage"
pool.channel.name.0357: "Filament d'Argent"
pool.channel.name.0358: "Glucose Holy"
pool.channel.name.0359: "Vert Sauvage"
pool.channel.name.0360: "Expulsion Jeune"
pool.channel.name.0361: "Dôme Doré"
pool.channel.name.0362: "Parfum Rouillé"
pool.channel.name.0363: "Poulain Mystique"
pool.channel.name.0364: "Mêlée Létale"
pool.channel.name.0365: "Chute d'Argent"
pool.channel.name.0366: "Épigraphe Murmurant"
pool.channel.name.0367: "Entrée Nouvelle"
pool.channel.name.0368: "Gras Sauvage"
pool.channel.name.0369: "Poing Gelé"
pool.channel.name.0370: "Faide Silencieuse"
pool.channel.name.0371: "Gaulois Perdu"
pool.channel.name.0372: "Sou Murmurant"
pool.channel.name.0373: "Garage Silencieux"
pool.channel.name.0374: "Gaufre Hurlant"
pool.channel.name.0375: "Goutte Rouillée"
pool.channel.name.0376: "Guide Hurlant"
pool.channel.name.0377: "Graal Sombre"
pool.channel.name.0378: "Génie d'Argent"
pool.channel.name.0379: "Puce Gelée"
pool.channel.name.0380: "Gratuité Infernale"
pool.channel.name.0381: "Gosier Glacial"
pool.channel.name.0382: "Conduit du Vide"
pool.channel.name.0383: "Invité Jeune"
pool.channel.name.0384: "Exaltation Gelée"
pool.channel.name.0385: "Scintillement Murmurant"
pool.channel.name.0386: "Bâillon Primordial"
pool.channel.name.0387: "Gibet Brûlant"
pool.channel.name.0388: "Glouton Maudit"
pool.channel.name.0389: "Gorgone Mortelle"
pool.channel.name.0390: "Rainure de Fer"
pool.channel.name.0391: "Exclusion Jeune"
pool.channel.name.0392: "Froufrou Oublié"
pool.channel.name.0393: "Euphémisme Ancien"
pool.channel.name.0394: "Ingénieur Souillé"
pool.channel.name.0395: "Époxy Jeune"
pool.channel.name.0396: "Sortie de Fer"
pool.channel.name.0397: "Brise-lames Béni"
pool.channel.name.0398: "Infini d'Acier"
pool.channel.name.0399: "Équinoxe Divin"
pool.channel.name.0400: "Extradition d'Acier"
pool.channel.name.0401: "Gentry Glaciale"
pool.channel.name.0402: "Fédération Dorée"
pool.channel.name.0403: "Émissaire Céleste"
pool.channel.name.0404: "Élocution Éclatante"
pool.channel.name.0405: "Foi Oubliée"
pool.channel.name.0406: "Rassemblement Éclatant"
pool.channel.name.0407: "Frénésie Maudite"
pool.channel.name.0408: "Rêve Sombre"
pool.channel.name.0409: "Grotte Brûlante"
pool.channel.name.0410: "Gondole Dorée"
pool.channel.name.0411: "Lies Mystique"
pool.channel.name.0412: "Gué Primordial"
pool.channel.name.0413: "Économie Oubliée"
pool.channel.name.0414: "Galop Primordial"
pool.channel.name.0415: "Épisode Infernal"
pool.channel.name.0416: "Reflet Abyssal"
pool.channel.name.0417: "Paupière Nouvelle"
pool.channel.name.0418: "Croissance Sacrée"
pool.channel.name.0419: "Euphonie Létale"
pool.channel.name.0420: "Éternité de Fer"
pool.channel.name.0421: "Aqueduc Holy"
pool.channel.name.0422: "Courant d'air Brûlant"
pool.channel.name.0423: "Chair Sombre"
pool.channel.name.0424: "Grand-mère Primordiale"
pool.channel.name.0425: "Frontière des Ombres"
pool.channel.name.0426: "Cage Nouvelle"
pool.channel.name.0427: "Écorchement Brûlant"
pool.channel.name.0428: "Étiquette Antique"
pool.channel.name.0429: "Croc Abyssal"
pool.channel.name.0430: "Duel du Vide"
pool.channel.name.0431: "Flics Glacial"
pool.channel.name.0432: "Échiquier Interdit"
pool.channel.name.0433: "Gage Jeune"
pool.channel.name.0434: "Forme Mystique"
pool.channel.name.0435: "Gomme Brûlante"
pool.channel.name.0436: "Ésotérique d'Acier"
pool.channel.name.0437: "Tétras Gelé"
pool.channel.name.0438: "Aire Sombre"
pool.channel.name.0439: "Mode Éclatante"
pool.channel.name.0440: "Dieu Hurlant"
pool.channel.name.0441: "Plein Antique"
pool.channel.name.0442: "Lueur du Vide"
pool.channel.name.0443: "Géant Nouveau"
pool.channel.name.0444: "Familier Nouveau"
pool.channel.name.0445: "Grief Divin"
pool.channel.name.0446: "Rotation Antique"
pool.channel.name.0447: "Jeu du Vide"
pool.channel.name.0448: "Gros Céleste"
pool.channel.name.0449: "Émigrant Primordial"
pool.channel.name.0450: "Essentiel d'Argent"
pool.channel.name.0451: "Noyau Létal"
pool.channel.name.0452: "Équilibre Hurlant"
pool.channel.name.0453: "Film Ardent"
pool.channel.name.0454: "Duché Souillé"
pool.channel.name.0455: "Essai Souillé"
pool.channel.name.0456: "Gomme Souillée"
pool.channel.name.0457: "Embargo Holy"
pool.channel.name.0458: "Boute-feu Céleste"
pool.channel.name.0459: "Flexion Oubliée"
pool.channel.name.0460: "Gaieté Primordiale"
pool.channel.name.0461: "Carrefour Abyssal"
pool.channel.name.0462: "Femelle d'Émeraude"
pool.channel.name.0463: "Gemme Infernale"
pool.channel.name.0464: "Fonts Divin"
pool.channel.name.0465: "Geôle Céleste"
pool.channel.name.0466: "Ami Interdit"
pool.channel.name.0467: "Bastion Mortel"
pool.channel.name.0468: "Donjon Silencieux"
pool.channel.name.0469: "Expansion Dorée"
pool.channel.name.0470: "Larcin Jeune"
pool.channel.name.0471: "Œuf de Fer"
pool.channel.name.0472: "Exhortation d'Émeraude"
pool.channel.name.0473: "Flore du Vide"
pool.channel.name.0474: "Ténèbres Brûlants"
pool.channel.name.0475: "Connecteur Silencieux"
pool.channel.name.0476: "Belvédère Glacial"
pool.channel.name.0477: "Tâtonnement d'Acier"
pool.channel.name.0478: "Février d'Argent"
pool.channel.name.0479: "Fortune d'Acier"
pool.channel.name.0480: "Extravagance du Vide"
pool.channel.name.0481: "Application d'Émeraude"
pool.channel.name.0482: "Excuse Éthérée"
pool.channel.name.0483: "Rafale Jeune"
pool.channel.name.0484: "Elfe Silencieux"
pool.channel.name.0485: "District de Fer"
pool.channel.name.0486: "Érection d'Argent"
pool.channel.name.0487: "Divertissement Divin"
pool.channel.name.0488: "Déclivité Jeune"
pool.channel.name.0489: "Gars Éclatant"
pool.channel.name.0490: "Gnostique de Fer"
pool.channel.name.0491: "Butte Antique"
pool.channel.name.0492: "Faucon Murmurant"
pool.channel.name.0493: "Flamboyant Nouveau"
pool.channel.name.0494: "Final Glacial"
pool.channel.name.0495: "Parade Brûlante"
pool.channel.name.0496: "Garantie Éclatante"
pool.channel.name.0497: "Ennemi Gelé"
pool.channel.name.0498: "Scorie Hurlante"
pool.channel.name.0499: "Exagération Sauvage"
pool.channel.name.0500: "Établissement Caché"
pool.channel.name.0501: "Plume Sombre"
pool.channel.name.0502: "Découverte Infernale"
pool.channel.name.0503: "Écume Maudite"
pool.channel.name.0504: "Quinzaine Holy"
pool.channel.name.0505: "Fluent Doré"
pool.channel.name.0506: "Existence Maudite"
pool.channel.name.0507: "Noueux Ardent"
pool.channel.name.0508: "Dortoir Divin"
pool.channel.name.0509: "Drapeau Silencieux"
pool.channel.name.0510: "Impasse Maudite"
pool.channel.name.0511: "Apparence Ardente"
pool.channel.name.0512: "Flocon d'Émeraude"
pool.channel.name.0513: "Décharge Primordiale"
pool.channel.name.0514: "Alimentation Glaciale"
pool.channel.name.0515: "Fontaine Éthérée"
pool.channel.name.0516: "Excitation Sacrée"
pool.channel.name.0517: "Balise Sombre"
pool.channel.name.0518: "Pétillement Éclatant"
pool.channel.name.0519: "Exaspération Abyssal"
pool.channel.name.0520: "Feinte d'Acier"
pool.channel.name.0521: "Oreille Glaciale"
pool.channel.name.0522: "Flacon Létal"
pool.channel.name.0523: "Guirlande Éthérée"
pool.channel.name.0524: "Raisin Abyssal"
pool.channel.name.0525: "Fort Abyssal"
pool.channel.name.0526: "Voltige Divine"
pool.channel.name.0527: "Sillon de Fer"
pool.channel.name.0528: "Frein Perdu"
pool.channel.name.0529: "Dalot Béni"
pool.channel.name.0530: "Guinée Souillée"
pool.channel.name.0531: "Approbation Cachée"
pool.channel.name.0532: "Front Béni"
pool.channel.name.0533: "Déesse Glaciale"
pool.channel.name.0534: "Cercle d'Acier"
pool.channel.name.0535: "Sangle des Ombres"
pool.channel.name.0536: "Excellence Ancienne"
pool.channel.name.0537: "Éternité Mystique"
pool.channel.name.0538: "Évolution Holy"
pool.channel.name.0539: "Gazette Éclatante"
pool.channel.name.0540: "Gaze Sauvage"
pool.channel.name.0541: "Congé Doré"
pool.channel.name.0542: "Collyre Éthéré"
pool.channel.name.0543: "Exaction Silencieuse"
pool.channel.name.0544: "Plat Caché"
pool.channel.name.0545: "Incursion Nouvelle"
pool.channel.name.0546: "Tapageur Interdit"
pool.channel.name.0547: "Herbe Cachée"
pool.channel.name.0548: "Domaine Éclatant"
pool.channel.name.0549: "Journal Jeune"
pool.channel.name.0550: "Escorte Éthérée"
pool.channel.name.0551: "Frozen Antique"
pool.channel.name.0552: "Rideau Mystique"
pool.channel.name.0553: "Dépôt du Vide"
pool.channel.name.0554: "Fondateur Létal"
pool.channel.name.0555: "Flux Éthéré"
pool.channel.name.0556: "Grognement Infernal"
pool.channel.name.0557: "Fatal Brûlant"
pool.channel.name.0558: "Fosse septique Brûlante"
pool.channel.name.0559: "Félicité Gelée"
pool.channel.name.0560: "Ruisseau Primordial"
pool.channel.name.0561: "Soutien Perdu"
pool.channel.name.0562: "Meule Maudite"
pool.channel.name.0563: "Famine d'Argent"
pool.channel.name.0564: "Installation Jeune"
pool.channel.name.0565: "Quatre Murmurant"
pool.channel.name.0566: "Pas Mortel"
pool.channel.name.0567: "À gogo du Vide"
pool.channel.name.0568: "Brasse Hurlante"
pool.channel.name.0569: "Colonie Holy"
pool.channel.name.0570: "Expédition Souillée"
pool.channel.name.0571: "Course Cachée"
pool.channel.name.0572: "Forge Holy"
pool.channel.name.0573: "Facteur Infernal"
pool.channel.name.0574: "Vide Sacré"
pool.channel.name.0575: "Brèche Bénie"
pool.channel.name.0576: "Déplacement Maudit"
pool.channel.name.0577: "Guano Ancien"
pool.channel.name.0578: "Facette Ancienne"
pool.channel.name.0579: "Domaine Holy"
pool.channel.name.0580: "Tempête Éclatante"
pool.channel.name.0581: "Éjection Hurlante"
pool.channel.name.0582: "Évanouissement Éclatant"
pool.channel.name.0583: "Évasion Glaciale"
pool.channel.name.0584: "Tourment Holy"
pool.channel.name.0585: "Reconnaissance des Ombres"
pool.channel.name.0586: "Fiction Holy"
pool.channel.name.0587: "Bourdonnement Antique"
pool.channel.name.0588: "Générique Sacré"
pool.channel.name.0589: "Énergie Maudite"
pool.channel.name.0590: "Terreur Céleste"
pool.channel.name.0591: "Enthousiasme Oublié"
pool.channel.name.0592: "Écu Maudit"
pool.channel.name.0593: "Accès Éthéré"
pool.channel.name.0594: "Gadget Mystique"
pool.channel.name.0595: "Équivoque Céleste"
pool.channel.name.0596: "Fondu Primordial"
pool.channel.name.0597: "Pli Sacré"
pool.channel.name.0598: "Densité Sombre"
pool.channel.name.0599: "Ancien Ancien"
pool.channel.name.0600: "Larve Murmurante"
pool.channel.name.0601: "Fondation Primordiale"
pool.channel.name.0602: "Erratique Céleste"
pool.channel.name.0603: "Allégresse Rouillée"
pool.channel.name.0604: "Allemand Gelé"
pool.channel.name.0605: "Fourrure Ardente"
pool.channel.name.0606: "Cellule Mortelle"
pool.channel.name.0607: "Fantôme Infernal"
pool.channel.name.0608: "Congrégation Bénie"
pool.channel.name.0609: "Excès Brûlant"
pool.channel.name.0610: "Évaluation Gelée"
pool.channel.name.0611: "Sol Murmurant"
pool.channel.name.0612: "Volière Maudite"
pool.channel.name.0613: "Flanelle Interdite"
pool.channel.name.0614: "Fiel Perdu"
pool.channel.name.0615: "Feston Éthéré"
pool.channel.name.0616: "Franchise Brûlante"
pool.channel.name.0617: "Forum Brûlant"
pool.channel.name.0618: "Frise Infernale"
pool.channel.name.0619: "Échappement Perdu"
pool.channel.name.0620: "Cap Éthéré"
pool.channel.name.0621: "Est Ancien"
pool.channel.name.0622: "Culpabilité Nouvelle"
pool.channel.name.0623: "Dotation Bénie"
