pool.channel.name.0001: "Вопящий Мятежник"
pool.channel.name.0271: "Ржавое Извлечение"
pool.channel.name.0272: "Старший Выборы"
pool.channel.name.0273: "Серебряный Фурлонг"
pool.channel.name.0274: "Скрытое Брожение"
pool.channel.name.0275: "Серебряный Утес"
pool.channel.name.0276: "Золотой Фронтон"
pool.channel.name.0277: "Золотой Грязь"
pool.channel.name.0278: "Дикий Финиш"
pool.channel.name.0279: "Святое Укрепление"
pool.channel.name.0280: "Юный Фланец"
pool.channel.name.0281: "Холодная Геометрия"
pool.channel.name.0282: "Старший Казнь"
pool.channel.name.0283: "Вопящий Ансамбль"
pool.channel.name.0284: "Оскверненный Обман"
pool.channel.name.0285: "Эфирное Благовестие"
pool.channel.name.0286: "Юный Скрежет"
pool.channel.name.0287: "Древний Диагональ"
pool.channel.name.0288: "Теневой Арсенал"
pool.channel.name.0289: "Юный Пятьдесят"
pool.channel.name.0290: "Оскверненный Дым"
pool.channel.name.0291: "Холодный Кремень"
pool.channel.name.0292: "Забытое Удовлетворение"
pool.channel.name.0293: "Пустотный Всюду"
pool.channel.name.0294: "Безмолвный Динамит"
pool.channel.name.0295: "Новая Трясина"
pool.channel.name.0296: "Стальные Очки"
pool.channel.name.0297: "Бездный Порыв"
pool.channel.name.0298: "Юное Уклонение"
pool.channel.name.0299: "Запретное Руководство"
pool.channel.name.0300: "Божественное Изгнание"
pool.channel.name.0301: "Iron Ex exquisite"
pool.channel.name.0302: "Раскаленный Олененок"
pool.channel.name.0303: "Изумрудное Изумление"
pool.channel.name.0304: "Святое Облако"
pool.channel.name.0305: "Серебряное Напряжение"
pool.channel.name.0306: "Дикая Воронка"
pool.channel.name.0307: "Старшое Волокно"
pool.channel.name.0308: "Старший Эмпиризм"
pool.channel.name.0309: "Серебряный Дуэт"
pool.channel.name.0310: "Безмолвная Походка"
pool.channel.name.0311: "Юная Лиса"
pool.channel.name.0312: "Смертельное Мошенничество"
pool.channel.name.0313: "Юный Край"
pool.channel.name.0314: "Старшые Обломки"
pool.channel.name.0315: "Смертоносное Презрение"
pool.channel.name.0316: "Холодное Сверло"
pool.channel.name.0317: "Старший Этос"
pool.channel.name.0318: "Вопящое Расстояние"
pool.channel.name.0319: "Проклятый Постепенность"
pool.channel.name.0320: "Запретная Трещина"
pool.channel.name.0321: "Потерянная Чаша"
pool.channel.name.0322: "Ржавая Дельта"
pool.channel.name.0323: "Небесная Плата"
pool.channel.name.0324: "Новый Выпас"
pool.channel.name.0325: "Сияющий Атриум"
pool.channel.name.0326: "Благословенный Цыган"
pool.channel.name.0327: "Старший Эмаль"
pool.channel.name.0328: "Новый Клан"
pool.channel.name.0329: "Древний Ледник"
pool.channel.name.0330: "Юный Раздел"
pool.channel.name.0331: "Изумрудное Стадо"
pool.channel.name.0332: "Новая Подставка"
pool.channel.name.0333: "Божественная Машина"
pool.channel.name.0334: "Раскаленный Грань"
pool.channel.name.0335: "Священный Пост"
pool.channel.name.0336: "Дикий Горжет"
pool.channel.name.0337: "Потерянный Дочерний"
pool.channel.name.0338: "Забытый Тупость"
pool.channel.name.0339: "Благословенное Уравнение"
pool.channel.name.0340: "Безмолвное Братство"
pool.channel.name.0341: "Холодный Пригожий"
pool.channel.name.0342: "Бездный Пух"
pool.channel.name.0343: "Потерянный Осмотр"
pool.channel.name.0344: "Теневая Эйфория"
pool.channel.name.0345: "Серебряное Веселье"
pool.channel.name.0346: "Запретный Страх"
pool.channel.name.0347: "Смертоносный Азарт"
pool.channel.name.0348: "Потерянное Жилище"
pool.channel.name.0349: "Оскверненная Ярмарка"
pool.channel.name.0350: "Божественный Провал"
pool.channel.name.0351: "Запретный Пол"
pool.channel.name.0352: "Раскаленный Кувырок"
pool.channel.name.0353: "Пылающий Тайник"
pool.channel.name.0354: "Дикое Чувство"
pool.channel.name.0355: "Святой Ужас"
pool.channel.name.0356: "Дикое Появление"
pool.channel.name.0357: "Серебряный Нить"
pool.channel.name.0358: "Святая Глюкоза"
pool.channel.name.0359: "Дикий Зелень"
pool.channel.name.0360: "Юное Изгнание"
pool.channel.name.0361: "Золотой Купол"
pool.channel.name.0362: "Ржавый Аромат"
pool.channel.name.0363: "Мистический Жеребенок"
pool.channel.name.0364: "Смертельная Драка"
pool.channel.name.0365: "Серебряное Падение"
pool.channel.name.0366: "Шепчущий Эпиграф"
pool.channel.name.0367: "Новый Проем"
pool.channel.name.0368: "Дикий Жир"
pool.channel.name.0369: "Замерзший Кулак"
pool.channel.name.0370: "Безмолвная Вражда"
pool.channel.name.0371: "Потерянный Галльский"
pool.channel.name.0372: "Шепчущий Фартинг"
pool.channel.name.0373: "Безмолвный Гараж"
pool.channel.name.0374: "Вопящий Суслик"
pool.channel.name.0375: "Ржавая Капля"
pool.channel.name.0376: "Вопящий Проводник"
pool.channel.name.0377: "Темный Грааль"
pool.channel.name.0378: "Серебряный Джинн"
pool.channel.name.0379: "Замерзшая Блоха"
pool.channel.name.0380: "Адская Награда"
pool.channel.name.0381: "Холодная Глотка"
pool.channel.name.0382: "Пустотный Проток"
pool.channel.name.0383: "Юный Гость"
pool.channel.name.0384: "Замерзший Восторженность"
pool.channel.name.0385: "Шепчущое Мерцание"
pool.channel.name.0386: "Первобытный Кляп"
pool.channel.name.0387: "Пылающая Виселица"
pool.channel.name.0388: "Проклятая Обжора"
pool.channel.name.0389: "Смертоносная Горгона"
pool.channel.name.0390: "Железный Паз"
pool.channel.name.0391: "Юное Исключение"
pool.channel.name.0392: "Забытая Оборка"
pool.channel.name.0393: "Старший Эвфемизм"
pool.channel.name.0394: "Оскверненный Инженер"
pool.channel.name.0395: "Юная Смола"
pool.channel.name.0396: "Железный Выход"
pool.channel.name.0397: "Благословенный Волнорез"
pool.channel.name.0398: "Стальной Бесконечность"
pool.channel.name.0399: "Божественное Равноденствие"
pool.channel.name.0400: "Стальная Выдача"
pool.channel.name.0401: "Холодное Дворянство"
pool.channel.name.0402: "Золотая Федерация"
pool.channel.name.0403: "Небесный Эмиссар"
pool.channel.name.0404: "Сияющая Дикция"
pool.channel.name.0405: "Забытая Вера"
pool.channel.name.0406: "Сияющий Сбор"
pool.channel.name.0407: "Проклятое Бешенство"
pool.channel.name.0408: "Темный Сон"
pool.channel.name.0409: "Пылающая Пещера"
pool.channel.name.0410: "Золотая Гондола"
pool.channel.name.0411: "Мистический Осадок"
pool.channel.name.0412: "Первобытный Брод"
pool.channel.name.0413: "Забытая Экономика"
pool.channel.name.0414: "Первобытный Галоп"
pool.channel.name.0415: "Адский Эпизод"
pool.channel.name.0416: "Бездный Блеск"
pool.channel.name.0417: "Новое Веко"
pool.channel.name.0418: "Священный Рост"
pool.channel.name.0419: "Смертельное Благозвучие"
pool.channel.name.0420: "Железный Вечность"
pool.channel.name.0421: "Святой Акведук"
pool.channel.name.0422: "Пылающий Сквозняк"
pool.channel.name.0423: "Темный Плоть"
pool.channel.name.0424: "Первобытная Бабушка"
pool.channel.name.0425: "Теневая Граница"
pool.channel.name.0426: "Новая Клетка"
pool.channel.name.0427: "Пылающий Сдирание кожи"
pool.channel.name.0428: "Древний Этикет"
pool.channel.name.0429: "Бездный Клык"
pool.channel.name.0430: "Пустотный Двойственность"
pool.channel.name.0431: "Холодные Копы"
pool.channel.name.0432: "Запретное Казначейство"
pool.channel.name.0433: "Юный Залог"
pool.channel.name.0434: "Мистическая Форма"
pool.channel.name.0435: "Пылающий Ластик"
pool.channel.name.0436: "Стальная Эзотерика"
pool.channel.name.0437: "Замерзший Рябчик"
pool.channel.name.0438: "Темное Гнездо"
pool.channel.name.0439: "Сияющая Мода"
pool.channel.name.0440: "Вопящий Бог"
pool.channel.name.0441: "Древная Полнота"
pool.channel.name.0442: "Пустотное Мерцание"
pool.channel.name.0443: "Новый Гигант"
pool.channel.name.0444: "Новый Фамильяр"
pool.channel.name.0445: "Божественная Обида"
pool.channel.name.0446: "Древное Вращение"
pool.channel.name.0447: "Пустотная Игра"
pool.channel.name.0448: "Небесный Гросс"
pool.channel.name.0449: "Первобытный Эмигрант"
pool.channel.name.0450: "Серебряный Суть"
pool.channel.name.0451: "Смертельное Ядро"
pool.channel.name.0452: "Вопящое Равновесие"
pool.channel.name.0453: "Раскаленная Пленка"
pool.channel.name.0454: "Оскверненное Герцогство"
pool.channel.name.0455: "Оскверненный Очерк"
pool.channel.name.0456: "Оскверненная Смола"
pool.channel.name.0457: "Святое Эмбарго"
pool.channel.name.0458: "Небесная Головешка"
pool.channel.name.0459: "Забытый Сгиб"
pool.channel.name.0460: "Первобытное Веселье"
pool.channel.name.0461: "Бездный Перекресток"
pool.channel.name.0462: "Изумрудная Женщина"
pool.channel.name.0463: "Адский Самоцвет"
pool.channel.name.0464: "Божественный Шрифт"
pool.channel.name.0465: "Небесная Тюрьма"
pool.channel.name.0466: "Запретный Друг"
pool.channel.name.0467: "Смертоносный Бастион"
pool.channel.name.0468: "Безмолвное Подземелье"
pool.channel.name.0469: "Золотое Расширение"
pool.channel.name.0470: "Юная Кража"
pool.channel.name.0471: "Железное Яйцо"
pool.channel.name.0472: "Изумрудное Увещевание"
pool.channel.name.0473: "Пустотная Флора"
pool.channel.name.0474: "Пылающая Тьма"
pool.channel.name.0475: "Безмолвный Соединитель"
pool.channel.name.0476: "Холодный Бельведер"
pool.channel.name.0477: "Стальное Ощупывание"
pool.channel.name.0478: "Серебряный Февраль"
pool.channel.name.0479: "Стальная Удача"
pool.channel.name.0480: "Пустотный Расточительность"
pool.channel.name.0481: "Изумрудное Принуждение"
pool.channel.name.0482: "Эфирное Оправдание"
pool.channel.name.0483: "Юный Шквал"
pool.channel.name.0484: "Безмолвный Эльф"
pool.channel.name.0485: "Железный Район"
pool.channel.name.0486: "Серебряное Возведение"
pool.channel.name.0487: "Божественное Развлечение"
pool.channel.name.0488: "Юный Склон"
pool.channel.name.0489: "Сияющий Парень"
pool.channel.name.0490: "Железный Гностик"
pool.channel.name.0491: "Древний Холм"
pool.channel.name.0492: "Шепчущий Сокол"
pool.channel.name.0493: "Новый Пышность"
pool.channel.name.0494: "Холодный Финал"
pool.channel.name.0495: "Пылающая Защита"
pool.channel.name.0496: "Сияющая Гарантия"
pool.channel.name.0497: "Замерзший Враг"
pool.channel.name.0498: "Вопящий Шлак"
pool.channel.name.0499: "Дикое Преувеличение"
pool.channel.name.0500: "Скрытое Учреждение"
pool.channel.name.0501: "Темное Перо"
pool.channel.name.0502: "Адская Находка"
pool.channel.name.0503: "Проклятая Пена"
pool.channel.name.0504: "Святой Две недели"
pool.channel.name.0505: "Золотой Беглость"
pool.channel.name.0506: "Проклятое Существование"
pool.channel.name.0507: "Раскаленный Узел"
pool.channel.name.0508: "Божественное Общежитие"
pool.channel.name.0509: "Безмолвный Флаг"
pool.channel.name.0510: "Проклятый Тупик"
pool.channel.name.0511: "Раскаленное Обличье"
pool.channel.name.0512: "Изумрудная Хлопья"
pool.channel.name.0513: "Первобытный Разряд"
pool.channel.name.0514: "Холодный Корм"
pool.channel.name.0515: "Эфирный Фонтан"
pool.channel.name.0516: "Священное Волнение"
pool.channel.name.0517: "Темный Маяк"
pool.channel.name.0518: "Сияющое Шипение"
pool.channel.name.0519: "Бездное Раздражение"
pool.channel.name.0520: "Стальное Притворство"
pool.channel.name.0521: "Холодное Ухо"
pool.channel.name.0522: "Смертельная Фляга"
pool.channel.name.0523: "Эфирная Гирлянда"
pool.channel.name.0524: "Бездный Виноград"
pool.channel.name.0525: "Бездный Форт"
pool.channel.name.0526: "Божественное Порхание"
pool.channel.name.0527: "Железная Борозда"
pool.channel.name.0528: "Потерянная Обочина"
pool.channel.name.0529: "Благословенная Труба"
pool.channel.name.0530: "Оскверненная Гвинея"
pool.channel.name.0531: "Скрытое Одобрение"
pool.channel.name.0532: "Благословенный Фронт"
pool.channel.name.0533: "Холодная Богиня"
pool.channel.name.0534: "Стальной Круг"
pool.channel.name.0535: "Теневой Обхват"
pool.channel.name.0536: "Старшое Совершенство"
pool.channel.name.0537: "Мистический Вечность"
pool.channel.name.0538: "Святая Эволюция"
pool.channel.name.0539: "Сияющая Газета"
pool.channel.name.0540: "Дикая Марля"
pool.channel.name.0541: "Золотой Отпуск"
pool.channel.name.0542: "Эфирная Капля"
pool.channel.name.0543: "Безмолвное Взыскание"
pool.channel.name.0544: "Скрытое Блюдо"
pool.channel.name.0545: "Новый Набег"
pool.channel.name.0546: "Запретная Безвкусица"
pool.channel.name.0547: "Скрытая Трава"
pool.channel.name.0548: "Сияющое Поместье"
pool.channel.name.0549: "Юный Дневник"
pool.channel.name.0550: "Эфирный Эскорт"
pool.channel.name.0551: "Древний Мороз"
pool.channel.name.0552: "Мистический Занавес"
pool.channel.name.0553: "Пустотное Депо"
pool.channel.name.0554: "Смертельный Основатель"
pool.channel.name.0555: "Эфирный Поток"
pool.channel.name.0556: "Адское Рычание"
pool.channel.name.0557: "Пылающий Рок"
pool.channel.name.0558: "Пылающая Клоака"
pool.channel.name.0559: "Замерзшое Счастье"
pool.channel.name.0560: "Первобытный Ручей"
pool.channel.name.0561: "Потерянное Воспитание"
pool.channel.name.0562: "Проклятое Точило"
pool.channel.name.0563: "Серебряный Голод"
pool.channel.name.0564: "Юный Объект"
pool.channel.name.0565: "Шепчущая Четверка"
pool.channel.name.0566: "Смертоносный Шаг"
pool.channel.name.0567: "Пустотное Изобилие"
pool.channel.name.0568: "Вопящий Сажень"
pool.channel.name.0569: "Святая Колония"
pool.channel.name.0570: "Оскверненная Экспедиция"
pool.channel.name.0571: "Скрытое Поручение"
pool.channel.name.0572: "Святая Кузница"
pool.channel.name.0573: "Адский Фактор"
pool.channel.name.0574: "Священная Пустота"
pool.channel.name.0575: "Благословенный Пролом"
pool.channel.name.0576: "Проклятое Смещение"
pool.channel.name.0577: "Старшое Гуано"
pool.channel.name.0578: "Старший Грань"
pool.channel.name.0579: "Святое Владение"
pool.channel.name.0580: "Сияющий Шторм"
pool.channel.name.0581: "Вопящий Выброс"
pool.channel.name.0582: "Сияющий Оморок"
pool.channel.name.0583: "Холодное Уклонение"
pool.channel.name.0584: "Святой Лад"
pool.channel.name.0585: "Теневой Благодарность"
pool.channel.name.0586: "Святой Вымысел"
pool.channel.name.0587: "Древний Трутень"
pool.channel.name.0588: "Священное Общее"
pool.channel.name.0589: "Проклятая Энергия"
pool.channel.name.0590: "Небесный Ужас"
pool.channel.name.0591: "Забытый Восторг"
pool.channel.name.0592: "Проклятый Герб"
pool.channel.name.0593: "Эфирный Припадок"
pool.channel.name.0594: "Мистическое Устройство"
pool.channel.name.0595: "Небесный Двусмысленность"
pool.channel.name.0596: "Первобытное Увядание"
pool.channel.name.0597: "Священная Складка"
pool.channel.name.0598: "Темный Плотность"
pool.channel.name.0599: "Старший Создатель"
pool.channel.name.0600: "Шепчущая Личинка"
pool.channel.name.0601: "Первобытное Основание"
pool.channel.name.0602: "Небесное Непостоянство"
pool.channel.name.0603: "Ржавое Ликование"
pool.channel.name.0604: "Замерзший Немец"
pool.channel.name.0605: "Раскаленный Мех"
pool.channel.name.0606: "Смертоносная Клетка"
pool.channel.name.0607: "Адский Призрак"
pool.channel.name.0608: "Благословенная Паства"
pool.channel.name.0609: "Пылающий Избыток"
pool.channel.name.0610: "Замерзшая Оценка"
pool.channel.name.0611: "Шепчущая Земля"
pool.channel.name.0612: "Проклятый Вольер"
pool.channel.name.0613: "Запретный Фланель"
pool.channel.name.0614: "Потерянный Желчь"
pool.channel.name.0615: "Эфирная Гирлянда"
pool.channel.name.0616: "Пылающая Франшиза"
pool.channel.name.0617: "Пылающий Форум"
pool.channel.name.0618: "Адский Фриз"
pool.channel.name.0619: "Потерянный Выхлоп"
pool.channel.name.0620: "Эфирный Мыс"
pool.channel.name.0621: "Старший Восток"
